,"Input dims, index dim, reduce factor (RF)",Input size (>95% mem util)*,Sparsity,GPU clock time
79,2; 0; 8,"(66000, 66000)",0.99,0.011181297060102225
80,2; 1; 1,"(66000, 66000)",0.99,0.9655511863529682
81,2; 1; 2,"(66000, 66000)",0.99,0.4725701753050089
82,2; 1; 4,"(66000, 66000)",0.99,0.2178039588034153
83,2; 1; 8,"(66000, 66000)",0.99,0.1012599328532815
84,3; 0; 1,"(1640, 1640, 1640)",0.99,0.08848532103002071
85,3; 0; 2,"(1640, 1640, 1640)",0.99,0.04382997695356607
86,3; 0; 4,"(1640, 1640, 1640)",0.99,0.021929891593754292
87,3; 0; 8,"(1640, 1640, 1640)",0.99,0.010965994372963906
88,3; 1; 1,"(1640, 1640, 1640)",0.99,0.12242870777845383
89,3; 1; 2,"(1640, 1640, 1640)",0.99,0.06084876321256161
90,3; 1; 4,"(1640, 1640, 1640)",0.99,0.030434858053922653
91,3; 1; 8,"(1640, 1640, 1640)",0.99,0.01522537237033248
92,3; 2; 1,"(1640, 1640, 1640)",0.99,0.9968891832977533
93,3; 2; 2,"(1640, 1640, 1640)",0.99,0.49434638023376465
94,3; 2; 4,"(1640, 1640, 1640)",0.99,0.24493890069425106
95,3; 2; 8,"(1640, 1640, 1640)",0.99,0.12212126515805721
