,Input dims,Input size (>95% mem util)*,"Sparsities (input, matA, matB)",GPU clock time
50,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0 ; 0,0.014669639989733696
51,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0 ; 0.5,2.017886286601424
52,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0 ; 0.5,0.051038891077041626
53,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0 ; 0.5,0.014667689707130194
54,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0 ; 0.9,2.018137499690056
55,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0 ; 0.9,0.051035480573773384
56,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0 ; 0.9,0.014676390215754509
57,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0 ; 0.99,2.0182510316371918
58,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0 ; 0.99,0.05103714354336262
59,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0 ; 0.99,0.014668255671858789
60,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.5 ; 0,2.019158372655511
61,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.5 ; 0,0.05104566290974617
62,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.5 ; 0,0.013269091863185168
63,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.5 ; 0.5,2.0205355770885944
64,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.5 ; 0.5,0.05104155037552118
65,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.5 ; 0.5,0.013266644813120365
66,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.5 ; 0.9,2.020797686651349
67,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.5 ; 0.9,0.0510359900072217
68,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.5 ; 0.9,0.013269457500427961
69,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.5 ; 0.99,2.0179164726287127
70,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.5 ; 0.99,0.05103423241525888
71,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.5 ; 0.99,0.01326494263485074
72,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.9 ; 0,2.019186705350876
73,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.9 ; 0,0.05103529635816813
74,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.9 ; 0,0.013280154392123222
75,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.9 ; 0.5,2.0176954604685307
76,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.9 ; 0.5,0.05103676822036505
77,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.9 ; 0.5,0.013269202504307031
78,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.9 ; 0.9,2.0174796991050243
79,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.9 ; 0.9,0.05103938486427069
80,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.9 ; 0.9,0.01327894888818264
81,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.9 ; 0.99,2.0179257411509752
82,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.9 ; 0.99,0.05103801209479571
83,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.9 ; 0.99,0.013266754243522883
84,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.99 ; 0,2.018586728721857
85,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.99 ; 0,0.05104018952697516
86,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.99 ; 0,0.013268371392041445
87,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.99 ; 0.5,2.0177638083696365
88,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.99 ; 0.5,0.051048276387155055
89,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.99 ; 0.5,0.01326790601015091
90,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.99 ; 0.9,2.0178966764360666
91,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.99 ; 0.9,0.05103711429983378
92,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.99 ; 0.9,0.013277527876198292
93,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.5 ; 0.99 ; 0.99,2.018196012824774
94,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.5 ; 0.99 ; 0.99,0.05103953182697296
95,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.5 ; 0.99 ; 0.99,0.013268980011343957
96,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0 ; 0,2.0226556435227394
97,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0 ; 0,0.0510351836681366
98,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0 ; 0,0.014670818764716386
99,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0 ; 0.5,2.0174108520150185
100,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0 ; 0.5,0.05103671252727508
101,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0 ; 0.5,0.014668658655136824
102,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0 ; 0.9,2.0184960551559925
103,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0 ; 0.9,0.05104759894311428
104,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0 ; 0.9,0.014672826509922743
105,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0 ; 0.99,2.0185583289712667
106,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0 ; 0.99,0.05103687476366758
107,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0 ; 0.99,0.014669867977499963
108,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.5 ; 0,2.018152942880988
109,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.5 ; 0,0.05103858076035976
110,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.5 ; 0,0.013267594948410988
111,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.5 ; 0.5,2.0184471756219864
112,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.5 ; 0.5,0.0510352024808526
113,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.5 ; 0.5,0.013272429537028074
114,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.5 ; 0.9,2.0181841757148504
115,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.5 ; 0.9,0.05103710200637579
116,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.5 ; 0.9,0.013267891481518745
117,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.5 ; 0.99,2.018486497923732
118,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.5 ; 0.99,0.05104873199015856
119,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.5 ; 0.99,0.013269593007862568
120,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.9 ; 0,2.019095055758953
121,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.9 ; 0,0.05104093644768
122,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.9 ; 0,0.013278223015367985
123,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.9 ; 0.5,2.017665360122919
124,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.9 ; 0.5,0.05103703681379557
125,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.9 ; 0.5,0.013268884178251028
126,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.9 ; 0.9,2.018102014437318
127,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.9 ; 0.9,0.05103592164814472
128,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.9 ; 0.9,0.013275287859141827
129,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.9 ; 0.99,2.017914328724146
130,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.9 ; 0.99,0.05103449188172817
131,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.9 ; 0.99,0.013269452750682831
132,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.99 ; 0,2.018989711999893
133,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.99 ; 0,0.05103519726544618
134,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.99 ; 0,0.013269623927772044
135,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.99 ; 0.5,2.017009934410453
136,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.99 ; 0.5,0.05103735104203224
137,3,"[(64000, 1), (64000, 64000), (64000, 1)]",0.9 ; 0.99 ; 0.5,0.013269066531211137
138,3,"[(48000, 48000), (48000, 48000), (48000, 48000)]",0.9 ; 0.99 ; 0.9,2.017870172858238
139,3,"[(64000, 64000), (64000, 1), (1, 64000)]",0.9 ; 0.99 ; 0.9,0.051037312299013135
