,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
275,2 square 1,"(882, 882)",0,1555848,7.77924,23.068672,0.00017227553995326163(0.0)
276,2 square 0,"(893, 893)",0,1594898,7.97449,23.068672,0.00019814711064100265(0.0)
277,2 square 1,"(893, 893)",0,1594898,7.97449,23.068672,0.0001756708510220051(0.0)
278,2 square 0,"(904, 904)",0,1634432,8.17216,23.068672,0.00020022964105010033(0.0)
279,2 square 1,"(904, 904)",0,1634432,8.17216,23.068672,0.00017817898886278273(0.0)
280,2 square 0,"(915, 915)",0,1674450,8.37225,23.068672,0.00020247830078005792(0.0)
281,2 square 1,"(915, 915)",0,1674450,8.37225,23.068672,0.00018220049096271396(0.0)
282,2 square 0,"(926, 926)",0,1714952,8.57476,23.068672,0.00020639610011130571(0.0)
283,2 square 1,"(926, 926)",0,1714952,8.57476,23.068672,0.00018393696984276176(0.0)
284,2 square 0,"(936, 936)",0,1752192,8.76096,23.068672,0.00020762801868841053(0.0)
285,2 square 1,"(936, 936)",0,1752192,8.76096,23.068672,0.000185447430703789(0.0)
286,2 square 0,"(947, 947)",0,1793618,8.96809,23.068672,0.00021039115032181143(0.0)
287,2 square 1,"(947, 947)",0,1793618,8.96809,23.068672,0.00018915632972493768(0.0)
288,2 square 0,"(957, 957)",0,1831698,9.15849,23.068672,0.00021098726894706489(0.0)
289,2 square 1,"(957, 957)",0,1831698,9.15849,23.068672,0.00019313324009999632(0.0)
290,2 square 0,"(967, 967)",0,1870178,9.35089,23.068672,0.00021327570080757142(0.0)
291,2 square 1,"(967, 967)",0,1870178,9.35089,23.068672,0.0001941494713537395(0.0)
292,2 square 0,"(977, 977)",0,1909058,9.54529,23.068672,0.00021765094948932528(0.0)
293,2 square 1,"(977, 977)",0,1909058,9.54529,23.068672,0.00019833005964756012(0.0)
294,2 square 0,"(987, 987)",0,1948338,9.74169,23.068672,0.00022063839947804808(0.0)
295,2 square 1,"(987, 987)",0,1948338,9.74169,23.068672,0.00020035409135743976(0.0)
296,2 square 0,"(997, 997)",0,1988018,9.94009,23.068672,0.00022288765059784056(0.0)
297,2 square 1,"(997, 997)",0,1988018,9.94009,23.068672,0.00020366925047710538(0.0)
298,2 square 0,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00022228300804272294(0.0)
299,2 square 1,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00020532486960291862(0.0)
300,2 square 0,"(1017, 1017)",0,2068578,10.34289,23.068672,0.00022480246843770146(0.0)
301,2 square 1,"(1017, 1017)",0,2068578,10.34289,23.068672,0.0002078352216631174(0.0)
302,2 square 0,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00023055873811244964(0.0)
303,2 square 1,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00021035547135397792(0.0)
304,2 square 0,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00022791683906689286(0.0)
305,2 square 1,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00021114608040079475(0.0)
306,2 square 0,"(1045, 1045)",0,2184050,10.92025,23.068672,0.00023810570128262042(0.0)
307,2 square 1,"(1045, 1045)",0,2184050,10.92025,23.068672,0.00021517719142138958(0.0)
308,2 square 0,"(1055, 1055)",0,2226050,11.13025,23.068672,0.0002360259718261659(0.0)
309,2 square 1,"(1055, 1055)",0,2226050,11.13025,23.068672,0.00021733225788921116(0.0)
310,2 square 0,"(1064, 1064)",0,2264192,11.32096,23.068672,0.00023818804882466793(0.0)
311,2 square 1,"(1064, 1064)",0,2264192,11.32096,23.068672,0.00021884621819481253(0.0)
312,2 square 0,"(1073, 1073)",0,2302658,11.51329,23.068672,0.0002396299783140421(0.0)
313,2 square 1,"(1073, 1073)",0,2302658,11.51329,23.068672,0.0002254720381461084(0.0)
314,2 square 0,"(1082, 1082)",0,2341448,11.70724,23.068672,0.00024157614912837745(0.0)
