,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
342,2 square 0,"(1203, 1203)",0,2894418,14.47209,23.068672,0.00042634665966033935(0.0)
343,2 square 1,"(1203, 1203)",0,2894418,14.47209,23.068672,0.000311205571051687(0.0)
344,2 square 0,"(1211, 1211)",0,2933042,14.66521,23.068672,0.00041540645062923434(0.0)
345,2 square 1,"(1211, 1211)",0,2933042,14.66521,23.068672,0.00031076292973011735(0.0)
346,2 square 0,"(1219, 1219)",0,2971922,14.85961,23.068672,0.0004210621095262468(0.0)
347,2 square 1,"(1219, 1219)",0,2971922,14.85961,23.068672,0.00031348339980468153(0.0)
348,2 square 0,"(1227, 1227)",0,3011058,15.05529,44.040192,0.000424101569224149(0.0)
349,2 square 1,"(1227, 1227)",0,3011058,15.05529,44.040192,0.00031961125088855627(0.0)
350,2 square 0,"(1235, 1235)",0,3050450,15.25225,44.040192,0.00042317381128668784(0.0)
351,2 square 1,"(1235, 1235)",0,3050450,15.25225,44.040192,0.00031994308810681107(0.0)
352,2 square 0,"(1243, 1243)",0,3090098,15.45049,44.040192,0.0004313583695329726(0.0)
353,2 square 1,"(1243, 1243)",0,3090098,15.45049,44.040192,0.0003255830006673932(0.0)
354,2 square 0,"(1251, 1251)",0,3130002,15.65001,44.040192,0.00043516880832612516(0.0)
355,2 square 1,"(1251, 1251)",0,3130002,15.65001,44.040192,0.00032976275077089667(0.0)
356,2 square 0,"(1259, 1259)",0,3170162,15.85081,44.040192,0.00043704679002985357(0.0)
357,2 square 1,"(1259, 1259)",0,3170162,15.85081,44.040192,0.00033806683029979467(0.0)
358,2 square 0,"(1267, 1267)",0,3210578,16.05289,44.040192,0.0004435999388806522(0.0)
359,2 square 1,"(1267, 1267)",0,3210578,16.05289,44.040192,0.00033668549032881854(0.0)
360,2 square 0,"(1275, 1275)",0,3251250,16.25625,44.040192,0.0004482779186218977(0.0)
361,2 square 1,"(1275, 1275)",0,3251250,16.25625,44.040192,0.0003401851491071284(0.0)
362,2 square 0,"(1282, 1282)",0,3287048,16.43524,44.040192,0.00045186413917690514(0.0)
363,2 square 1,"(1282, 1282)",0,3287048,16.43524,44.040192,0.00034295881167054174(0.0)
364,2 square 0,"(1290, 1290)",0,3328200,16.641,44.040192,0.00045672958018258216(0.0)
365,2 square 1,"(1290, 1290)",0,3328200,16.641,44.040192,0.00034974662121385337(0.0)
366,2 square 0,"(1298, 1298)",0,3369608,16.84804,44.040192,0.00046082917833700776(0.0)
367,2 square 1,"(1298, 1298)",0,3369608,16.84804,44.040192,0.00035785523941740395(0.0)
368,2 square 0,"(1305, 1305)",0,3406050,17.03025,44.040192,0.00046378470025956633(0.0)
369,2 square 1,"(1305, 1305)",0,3406050,17.03025,44.040192,0.0003547675698064268(0.0)
370,2 square 0,"(1313, 1313)",0,3447938,17.23969,44.040192,0.0004705529706552625(0.0)
371,2 square 1,"(1313, 1313)",0,3447938,17.23969,44.040192,0.0003614857303909957(0.0)
372,2 square 0,"(1320, 1320)",0,3484800,17.424,44.040192,0.0004730214597657323(0.0)
373,2 square 1,"(1320, 1320)",0,3484800,17.424,44.040192,0.0003681690408848226(0.0)
374,2 square 0,"(1328, 1328)",0,3527168,17.63584,44.040192,0.00047430569073185323(0.0)
375,2 square 1,"(1328, 1328)",0,3527168,17.63584,44.040192,0.00036961357109248637(0.0)
376,2 square 0,"(1335, 1335)",0,3564450,17.82225,44.040192,0.00048279651906341315(0.0)
377,2 square 1,"(1335, 1335)",0,3564450,17.82225,44.040192,0.00037734396988525987(0.0)
378,2 square 0,"(1342, 1342)",0,3601928,18.00964,44.040192,0.00048678439809009434(0.0)
379,2 square 1,"(1342, 1342)",0,3601928,18.00964,44.040192,0.000376561488956213(0.0)
380,2 square 0,"(1350, 1350)",0,3645000,18.225,44.040192,0.00048490673070773483(0.0)
