,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
64,1 square 0,"(3944, 3944)",0,31110272,155.55136,270.532608,0.0021232949700788597(0.0)
65,1 square 1,"(3944, 3944)",0,31110272,155.55136,270.532608,0.0025374237600772178(0.0)
66,1 square 0,"(4000, 4000)",0,32000000,160.0,283.11552,0.0022711816799710505(0.0)
67,1 square 1,"(4000, 4000)",0,32000000,160.0,283.11552,0.002610835959931137(0.0)
68,1 square 0,"(4054, 4054)",0,32869832,164.34916,285.212672,0.002419841249939054(0.0)
69,1 square 1,"(4054, 4054)",0,32869832,164.34916,285.212672,0.00268571141990833(0.0)
70,1 square 0,"(4108, 4108)",0,33751328,168.75664,299.892736,0.002580236889916705(0.0)
71,1 square 1,"(4108, 4108)",0,33751328,168.75664,299.892736,0.0027584178899996916(0.0)
72,1 square 0,"(4161, 4161)",0,34627842,173.13921,304.08704,0.0027371153699641583(0.0)
73,1 square 1,"(4161, 4161)",0,34627842,173.13921,304.08704,0.002834177640033886(0.0)
74,1 square 0,"(4213, 4213)",0,35498738,177.49369,306.184192,0.0028933423399575987(0.0)
75,1 square 1,"(4213, 4213)",0,35498738,177.49369,306.184192,0.0029073567999876103(0.0)
76,1 square 0,"(4265, 4265)",0,36380450,181.90225,318.767104,0.0030737681899336167(0.0)
77,1 square 1,"(4265, 4265)",0,36380450,181.90225,318.767104,0.002984806440072134(0.0)
78,1 square 0,"(4316, 4316)",0,37255712,186.27856,322.961408,0.0032307315299112817(0.0)
79,1 square 1,"(4316, 4316)",0,37255712,186.27856,322.961408,0.003058174949983368(0.0)
80,1 square 0,"(4367, 4367)",0,38141378,190.70689,335.54432,0.00339689646003535(0.0)
81,1 square 1,"(4367, 4367)",0,38141378,190.70689,335.54432,0.003134889299981296(0.0)
82,1 square 0,"(4417, 4417)",0,39019778,195.09889,339.738624,0.0035552004599594513(0.0)
83,1 square 1,"(4417, 4417)",0,39019778,195.09889,339.738624,0.003209631219942821(0.0)
84,1 square 0,"(4467, 4467)",0,39908178,199.54089,352.321536,0.003760055930033559(0.0)
85,1 square 1,"(4467, 4467)",0,39908178,199.54089,352.321536,0.0032831079600146042(0.0)
86,1 square 0,"(4515, 4515)",0,40770450,203.85225,354.418688,0.0038939878001110627(0.0)
87,1 square 1,"(4515, 4515)",0,40770450,203.85225,354.418688,0.0033570465599768794(0.0)
88,1 square 0,"(4564, 4564)",0,41660192,208.30096,358.612992,0.004064382410142571(0.0)
89,1 square 1,"(4564, 4564)",0,41660192,208.30096,358.612992,0.0034332668701244984(0.0)
90,1 square 0,"(4612, 4612)",0,42541088,212.70544,373.293056,0.004224624460039195(0.0)
91,1 square 1,"(4612, 4612)",0,42541088,212.70544,373.293056,0.0035077092300343795(0.0)
92,1 square 0,"(4659, 4659)",0,43412562,217.06281,375.390208,0.004395319759933045(0.0)
93,1 square 1,"(4659, 4659)",0,43412562,217.06281,375.390208,0.0035841847000119744(0.0)
94,1 square 0,"(4706, 4706)",0,44292872,221.46436,387.97312,0.004558352420135634(0.0)
95,1 square 1,"(4706, 4706)",0,44292872,221.46436,387.97312,0.0036582531800377184(0.0)
