,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
607,8 square 1,"(330, 330)",0,217800,1.089,2.097152,9.474327089264989e-05(0.0),2.917755162343383e-05(0.0)
608,8 square 0,"(358, 358)",0,256328,1.28164,2.097152,0.0002157450607046485(0.0),0.00016177746932953595(0.0)
609,8 square 1,"(358, 358)",0,256328,1.28164,2.097152,9.418901987373829e-05(0.0),2.980013145133853e-05(0.0)
610,8 square 0,"(385, 385)",0,296450,1.48225,23.068672,0.00023436185903847218(0.0),0.00018903168151155114(0.0)
611,8 square 1,"(385, 385)",0,296450,1.48225,23.068672,9.042029967531561e-05(0.0),2.9806129168719055e-05(0.0)
612,8 square 0,"(410, 410)",0,336200,1.681,23.068672,0.00020068590994924308(0.0),0.00015696387039497493(0.0)
613,8 square 1,"(410, 410)",0,336200,1.681,23.068672,9.225836955010891e-05(0.0),3.128924174234271e-05(0.0)
614,8 square 0,"(433, 433)",0,374978,1.87489,23.068672,0.0002483553090132773(0.0),0.00020279129035770892(0.0)
615,8 square 1,"(433, 433)",0,374978,1.87489,23.068672,0.00010300067951902747(0.0),3.2911100424826147e-05(0.0)
616,8 square 0,"(455, 455)",0,414050,2.07025,23.068672,0.00023642305983230473(0.0),0.000192524790763855(0.0)
617,8 square 1,"(455, 455)",0,414050,2.07025,23.068672,9.104148019105196e-05(0.0),3.5088120494037864e-05(0.0)
618,8 square 0,"(476, 476)",0,453152,2.26576,23.068672,0.0002601615316234529(0.0),0.0001987669919617474(0.0)
619,8 square 1,"(476, 476)",0,453152,2.26576,23.068672,9.85963479615748e-05(0.0),4.427166888490319e-05(0.0)
620,8 square 0,"(496, 496)",0,492032,2.46016,23.068672,0.0003195620980113745(0.0),0.000274408848490566(0.0)
621,8 square 1,"(496, 496)",0,492032,2.46016,23.068672,0.00010976837016642094(0.0),3.530553076416254e-05(0.0)
622,8 square 0,"(516, 516)",0,532512,2.66256,23.068672,0.0002544082491658628(0.0),0.000209986490663141(0.0)
623,8 square 1,"(516, 516)",0,532512,2.66256,23.068672,0.00010495377006009221(0.0),3.911071922630072e-05(0.0)
624,8 square 0,"(535, 535)",0,572450,2.86225,23.068672,0.0002498255902901292(0.0),0.000206545889377594(0.0)
625,8 square 1,"(535, 535)",0,572450,2.86225,23.068672,0.00010127601912245154(0.0),4.3315370567142965e-05(0.0)
626,8 square 0,"(553, 553)",0,611618,3.05809,23.068672,0.0003359096893109381(0.0),0.00029236228903755545(0.0)
627,8 square 1,"(553, 553)",0,611618,3.05809,23.068672,0.00011718178866431117(0.0),4.172767046838999e-05(0.0)
628,8 square 0,"(570, 570)",0,649800,3.249,23.068672,0.00026118866866454483(0.0),0.0002146558091044426(0.0)
629,8 square 1,"(570, 570)",0,649800,3.249,23.068672,0.00010728106833994388(0.0),4.414743976667523e-05(0.0)
630,8 square 0,"(587, 587)",0,689138,3.44569,23.068672,0.0002591649396345019(0.0),0.0002144028409384191(0.0)
631,8 square 1,"(587, 587)",0,689138,3.44569,23.068672,0.00010790454922243953(0.0),4.469526931643486e-05(0.0)
632,8 square 0,"(604, 604)",0,729632,3.64816,23.068672,0.0003495470806956291(0.0),0.00030410849023610354(0.0)
633,8 square 1,"(604, 604)",0,729632,3.64816,23.068672,0.00011854816926643253(0.0),4.933374002575874e-05(0.0)
634,8 square 0,"(620, 620)",0,768800,3.844,23.068672,0.0003100863005965948(0.0),0.00026598303113132713(0.0)
635,8 square 1,"(620, 620)",0,768800,3.844,23.068672,0.00011574486969038844(0.0),5.420234985649586e-05(0.0)
636,8 square 0,"(636, 636)",0,808992,4.04496,23.068672,0.00026258369907736776(0.0),0.0002185958600603044(0.0)
637,8 square 1,"(636, 636)",0,808992,4.04496,23.068672,0.00011017515091225504(0.0),5.413151113316417e-05(0.0)
638,8 square 0,"(651, 651)",0,847602,4.23801,23.068672,0.0003377011907286942(0.0),0.00029224365949630736(0.0)
639,8 square 1,"(651, 651)",0,847602,4.23801,23.068672,0.00012659596977755428(0.0),5.97272883169353e-05(0.0)
640,8 square 0,"(666, 666)",0,887112,4.43556,23.068672,0.0003175197402015328(0.0),0.0002713249297812581(0.0)
641,8 square 1,"(666, 666)",0,887112,4.43556,23.068672,0.0001342223002575338(0.0),5.999240092933178e-05(0.0)
642,8 square 0,"(680, 680)",0,924800,4.624,23.068672,0.000261354090180248(0.0),0.0002164727495983243(0.0)
643,8 square 1,"(680, 680)",0,924800,4.624,23.068672,0.00011686668964102864(0.0),5.91851701028645e-05(0.0)
644,8 square 0,"(695, 695)",0,966050,4.83025,23.068672,0.0003071591607294977(0.0),0.0002621932700276375(0.0)
645,8 square 1,"(695, 695)",0,966050,4.83025,23.068672,0.0001230833400040865(0.0),6.57783285714686e-05(0.0)
646,8 square 0,"(709, 709)",0,1005362,5.02681,23.068672,0.00030432290164753793(0.0),0.00025966869900003077(0.0)
647,8 square 1,"(709, 709)",0,1005362,5.02681,23.068672,0.00011577773140743375(0.0),6.828646175563335e-05(0.0)
648,8 square 0,"(722, 722)",0,1042568,5.21284,23.068672,0.0002941921493038535(0.0),0.0002499895985238254(0.0)
649,8 square 1,"(722, 722)",0,1042568,5.21284,23.068672,0.00012017975794151425(0.0),6.113274954259395e-05(0.0)
650,8 square 0,"(736, 736)",0,1083392,5.41696,23.068672,0.00027636034181341526(0.0),0.0002995099010877311(0.0)
651,8 square 1,"(736, 736)",0,1083392,5.41696,23.068672,0.0001162771787494421(0.0),7.699032081291079e-05(0.0)
652,8 square 0,"(749, 749)",0,1122002,5.61001,23.068672,0.00027918800013139846(0.0),0.00030828618910163643(0.0)
653,8 square 1,"(749, 749)",0,1122002,5.61001,23.068672,0.00012193606933578849(0.0),6.990201771259308e-05(0.0)
654,8 square 0,"(762, 762)",0,1161288,5.80644,23.068672,0.0003006649808958173(0.0),0.0003205896494910121(0.0)
655,8 square 1,"(762, 762)",0,1161288,5.80644,23.068672,0.00012513532070443034(0.0),7.74927786551416e-05(0.0)
656,8 square 0,"(775, 775)",0,1201250,6.00625,23.068672,0.00030570142203941944(0.0),0.0002925011608749628(0.0)
657,8 square 1,"(775, 775)",0,1201250,6.00625,23.068672,0.00012275902088731527(0.0),7.278386969119311e-05(0.0)
658,8 square 0,"(788, 788)",0,1241888,6.20944,23.068672,0.00030908380169421436(0.0),0.00028550463961437347(0.0)
659,8 square 1,"(788, 788)",0,1241888,6.20944,23.068672,0.00013376523973420261(0.0),7.157409097999334e-05(0.0)
660,8 square 0,"(800, 800)",0,1280000,6.4,23.068672,0.0003453237889334559(0.0),0.00028876980068162086(0.0)
661,8 square 1,"(800, 800)",0,1280000,6.4,23.068672,0.0001364322705194354(0.0),7.916803006082773e-05(0.0)
662,8 square 0,"(812, 812)",0,1318688,6.59344,23.068672,0.00035874977009370924(0.0),0.0003520833794027567(0.0)
663,8 square 1,"(812, 812)",0,1318688,6.59344,23.068672,0.00013735461980104446(0.0),7.968021091073752e-05(0.0)
664,8 square 0,"(824, 824)",0,1357952,6.78976,23.068672,0.0003575843805447221(0.0),0.00030557557940483096(0.0)
