,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
64,1 square 0,"(3944, 3944)",0,31110272,155.55136,333.447168,0.0033749456600344276(0.0)
65,1 square 1,"(3944, 3944)",0,31110272,155.55136,333.447168,0.0020554719600477255(0.0)
66,1 square 0,"(4000, 4000)",0,32000000,160.0,346.03008,0.0035248646400577854(0.0)
67,1 square 1,"(4000, 4000)",0,32000000,160.0,346.03008,0.002109224409941817(0.0)
68,1 square 0,"(4054, 4054)",0,32869832,164.34916,350.224384,0.003681133500067517(0.0)
69,1 square 1,"(4054, 4054)",0,32869832,164.34916,350.224384,0.0021663719799835234(0.0)
70,1 square 0,"(4108, 4108)",0,33751328,168.75664,364.904448,0.0038489231900894084(0.0)
71,1 square 1,"(4108, 4108)",0,33751328,168.75664,364.904448,0.00223941926000407(0.0)
72,1 square 0,"(4161, 4161)",0,34627842,173.13921,373.293056,0.0040029496299393945(0.0)
73,1 square 1,"(4161, 4161)",0,34627842,173.13921,373.293056,0.0023068917100317774(0.0)
74,1 square 0,"(4213, 4213)",0,35498738,177.49369,377.48736,0.004161600189981982(0.0)
75,1 square 1,"(4213, 4213)",0,35498738,177.49369,377.48736,0.0023757936799665915(0.0)
76,1 square 0,"(4265, 4265)",0,36380450,181.90225,390.070272,0.004331223949993728(0.0)
77,1 square 1,"(4265, 4265)",0,36380450,181.90225,390.070272,0.002439247160073137(0.0)
78,1 square 0,"(4316, 4316)",0,37255712,186.27856,398.45888,0.004501017759903334(0.0)
79,1 square 1,"(4316, 4316)",0,37255712,186.27856,398.45888,0.002497273679909995(0.0)
80,1 square 0,"(4367, 4367)",0,38141378,190.70689,408.94464,0.004663468700018711(0.0)
81,1 square 1,"(4367, 4367)",0,38141378,190.70689,408.94464,0.002564912359957816(0.0)
82,1 square 0,"(4417, 4417)",0,39019778,195.09889,417.333248,0.004822655380121432(0.0)
83,1 square 1,"(4417, 4417)",0,39019778,195.09889,417.333248,0.0026273927099828144(0.0)
84,1 square 0,"(4467, 4467)",0,39908178,199.54089,429.91616,0.004990610409877263(0.0)
85,1 square 1,"(4467, 4467)",0,39908178,199.54089,429.91616,0.00270790948998183(0.0)
86,1 square 0,"(4515, 4515)",0,40770450,203.85225,434.110464,0.0051553293199685865(0.0)
87,1 square 1,"(4515, 4515)",0,40770450,203.85225,434.110464,0.002760680310020689(0.0)
88,1 square 0,"(4564, 4564)",0,41660192,208.30096,442.499072,0.005322850439988543(0.0)
89,1 square 1,"(4564, 4564)",0,41660192,208.30096,442.499072,0.0028261851600836965(0.0)
90,1 square 0,"(4612, 4612)",0,42541088,212.70544,457.179136,0.005482348709920188(0.0)
91,1 square 1,"(4612, 4612)",0,42541088,212.70544,457.179136,0.0029104607399494855(0.0)
92,1 square 0,"(4659, 4659)",0,43412562,217.06281,461.37344,0.005648891180026112(0.0)
93,1 square 1,"(4659, 4659)",0,43412562,217.06281,461.37344,0.002965637599991169(0.0)
94,1 square 0,"(4706, 4706)",0,44292872,221.46436,473.956352,0.005822779519949108(0.0)
95,1 square 1,"(4706, 4706)",0,44292872,221.46436,473.956352,0.0030260868099867364(0.0)
96,1 square 0,"(4752, 4752)",0,45163008,225.81504,482.34496,0.005975028029934037(0.0)
97,1 square 1,"(4752, 4752)",0,45163008,225.81504,482.34496,0.0031239947200811004(0.0)
98,1 square 0,"(4798, 4798)",0,46041608,230.20804,486.539264,0.006148018870007945(0.0)
99,1 square 1,"(4798, 4798)",0,46041608,230.20804,486.539264,0.0031545457000902387(0.0)
100,1 square 0,"(4844, 4844)",0,46928672,234.64336,501.219328,0.006309076890029246(0.0)
101,1 square 1,"(4844, 4844)",0,46928672,234.64336,501.219328,0.003241431719943648(0.0)
102,1 square 0,"(4889, 4889)",0,47804642,239.02321,509.607936,0.006466441359953024(0.0)
103,1 square 1,"(4889, 4889)",0,47804642,239.02321,509.607936,0.0032892204298696015(0.0)
104,1 square 0,"(4934, 4934)",0,48688712,243.44356,517.996544,0.00664682767004706(0.0)
105,1 square 1,"(4934, 4934)",0,48688712,243.44356,517.996544,0.003368801059987163(0.0)
106,1 square 0,"(4978, 4978)",0,49560968,247.80484,526.385152,0.006810653629945591(0.0)
107,1 square 1,"(4978, 4978)",0,49560968,247.80484,526.385152,0.0034390737299690955(0.0)
108,1 square 0,"(5022, 5022)",0,50440968,252.20484,541.065216,0.006991159280005377(0.0)
109,1 square 1,"(5022, 5022)",0,50440968,252.20484,541.065216,0.003492889019980794(0.0)
110,1 square 0,"(5066, 5066)",0,51328712,256.64356,545.25952,0.007151015249983175(0.0)
111,1 square 1,"(5066, 5066)",0,51328712,256.64356,545.25952,0.0035614914300094824(0.0)
112,1 square 0,"(5109, 5109)",0,52203762,261.01881,553.648128,0.007319049060024554(0.0)
113,1 square 1,"(5109, 5109)",0,52203762,261.01881,553.648128,0.0036505610700987745(0.0)
114,1 square 0,"(5152, 5152)",0,53086208,265.43104,566.23104,0.007483550210017711(0.0)
115,1 square 1,"(5152, 5152)",0,53086208,265.43104,566.23104,0.00372836405003909(0.0)
116,1 square 0,"(5194, 5194)",0,53955272,269.77636,570.425344,0.007651713870000094(0.0)
117,1 square 1,"(5194, 5194)",0,53955272,269.77636,570.425344,0.0037888410298910456(0.0)
118,1 square 0,"(5236, 5236)",0,54831392,274.15696,585.105408,0.00781209463995765(0.0)
119,1 square 1,"(5236, 5236)",0,54831392,274.15696,585.105408,0.003844665829965379(0.0)
