,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
64,1 square 0,"(3944, 3944)",0,31110272,155.55136,333.447168,0.0033815581400995142(0.0)
65,1 square 1,"(3944, 3944)",0,31110272,155.55136,333.447168,0.0020483234399580395(0.0)
66,1 square 0,"(4000, 4000)",0,32000000,160.0,346.03008,0.0035191890499845615(0.0)
67,1 square 1,"(4000, 4000)",0,32000000,160.0,346.03008,0.0021081373900233304(0.0)
68,1 square 0,"(4054, 4054)",0,32869832,164.34916,350.224384,0.0036874345799151344(0.0)
69,1 square 1,"(4054, 4054)",0,32869832,164.34916,350.224384,0.0021690167700580787(0.0)
70,1 square 0,"(4108, 4108)",0,33751328,168.75664,364.904448,0.003842875030095456(0.0)
71,1 square 1,"(4108, 4108)",0,33751328,168.75664,364.904448,0.0022388674900867046(0.0)
72,1 square 0,"(4161, 4161)",0,34627842,173.13921,373.293056,0.004005114229948958(0.0)
73,1 square 1,"(4161, 4161)",0,34627842,173.13921,373.293056,0.0023874234200047793(0.0)
74,1 square 0,"(4213, 4213)",0,35498738,177.49369,377.48736,0.0042227982199983674(0.0)
75,1 square 1,"(4213, 4213)",0,35498738,177.49369,377.48736,0.002378710890043294(0.0)
76,1 square 0,"(4265, 4265)",0,36380450,181.90225,390.070272,0.0043208555098681245(0.0)
77,1 square 1,"(4265, 4265)",0,36380450,181.90225,390.070272,0.002433824059990002(0.0)
78,1 square 0,"(4316, 4316)",0,37255712,186.27856,398.45888,0.004499611579958583(0.0)
79,1 square 1,"(4316, 4316)",0,37255712,186.27856,398.45888,0.002505965809978079(0.0)
80,1 square 0,"(4367, 4367)",0,38141378,190.70689,408.94464,0.004659603030013386(0.0)
81,1 square 1,"(4367, 4367)",0,38141378,190.70689,408.94464,0.0025602752700797284(0.0)
82,1 square 0,"(4417, 4417)",0,39019778,195.09889,417.333248,0.004829356109985384(0.0)
83,1 square 1,"(4417, 4417)",0,39019778,195.09889,417.333248,0.0026253461500164122(0.0)
84,1 square 0,"(4467, 4467)",0,39908178,199.54089,429.91616,0.004984324469987768(0.0)
85,1 square 1,"(4467, 4467)",0,39908178,199.54089,429.91616,0.0027291135599080006(0.0)
86,1 square 0,"(4515, 4515)",0,40770450,203.85225,434.110464,0.005155370709981071(0.0)
87,1 square 1,"(4515, 4515)",0,40770450,203.85225,434.110464,0.0027589870600786526(0.0)
88,1 square 0,"(4564, 4564)",0,41660192,208.30096,442.499072,0.00532374873990193(0.0)
89,1 square 1,"(4564, 4564)",0,41660192,208.30096,442.499072,0.0028257560699421445(0.0)
90,1 square 0,"(4612, 4612)",0,42541088,212.70544,457.179136,0.005490523789922009(0.0)
91,1 square 1,"(4612, 4612)",0,42541088,212.70544,457.179136,0.002889592029969208(0.0)
92,1 square 0,"(4659, 4659)",0,43412562,217.06281,461.37344,0.0056543499699910175(0.0)
93,1 square 1,"(4659, 4659)",0,43412562,217.06281,461.37344,0.002971290459972806(0.0)
94,1 square 0,"(4706, 4706)",0,44292872,221.46436,473.956352,0.0058103461399150545(0.0)
95,1 square 1,"(4706, 4706)",0,44292872,221.46436,473.956352,0.003026151869999012(0.0)
96,1 square 0,"(4752, 4752)",0,45163008,225.81504,482.34496,0.005974494520050939(0.0)
97,1 square 1,"(4752, 4752)",0,45163008,225.81504,482.34496,0.0031112817900429946(0.0)
98,1 square 0,"(4798, 4798)",0,46041608,230.20804,486.539264,0.0061405294699943625(0.0)
99,1 square 1,"(4798, 4798)",0,46041608,230.20804,486.539264,0.0031597987900022417(0.0)
100,1 square 0,"(4844, 4844)",0,46928672,234.64336,501.219328,0.006309742120065493(0.0)
101,1 square 1,"(4844, 4844)",0,46928672,234.64336,501.219328,0.003217267919972073(0.0)
102,1 square 0,"(4889, 4889)",0,47804642,239.02321,509.607936,0.006480780619895086(0.0)
103,1 square 1,"(4889, 4889)",0,47804642,239.02321,509.607936,0.003296796729991911(0.0)
104,1 square 0,"(4934, 4934)",0,48688712,243.44356,517.996544,0.006656328239914728(0.0)
105,1 square 1,"(4934, 4934)",0,48688712,243.44356,517.996544,0.003376248410058906(0.0)
106,1 square 0,"(4978, 4978)",0,49560968,247.80484,526.385152,0.006809782789932797(0.0)
107,1 square 1,"(4978, 4978)",0,49560968,247.80484,526.385152,0.003440777070063632(0.0)
