,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (fuse) (IQR),GPU clock time (no fuse) (IQR)
40,2; 0; 1,"(4149, 4149)",0,17218350,34.461594,73.40032,0.0002943863999098539(0.0),0.0002944049402140081(0.0)
41,2; 0; 2,"(4149, 4149)",0,17216275,34.444994,56.623104,0.0001464500417932868(0.0),0.0001463158894330263(0.0)
42,2; 0; 4,"(4149, 4149)",0,17215238,34.436698,58.720256,7.190582109615207e-05(0.0),7.186262868344784e-05(0.0)
43,2; 0; 8,"(4149, 4149)",0,17214719,34.432546,58.720256,4.493098007515073e-05(0.0),4.48749796487391e-05(0.0)
44,2; 1; 1,"(4149, 4149)",0,17218350,34.461594,73.40032,0.0003010808792896569(0.0),0.000300955839920789(0.0)
45,2; 1; 2,"(4149, 4149)",0,17216275,34.444994,56.623104,0.00015933997929096222(0.0),0.00015920853009447457(0.0)
46,2; 1; 4,"(4149, 4149)",0,17215238,34.436698,58.720256,9.024347877129912e-05(0.0),9.031421039253474e-05(0.0)
47,2; 1; 8,"(4149, 4149)",0,17214719,34.432546,58.720256,5.544542102143168e-05(0.0),5.534182069823146e-05(0.0)
48,2; 0; 1,"(4377, 4377)",0,19162506,38.351274,81.788928,0.0003248705784790218(0.0),0.00032479895045980814(0.0)
49,2; 0; 2,"(4377, 4377)",0,19160317,38.333762,62.91456,0.00016334226122125984(0.0),0.0001633133110590279(0.0)
50,2; 0; 4,"(4377, 4377)",0,19159223,38.32501,62.91456,7.774478988721967e-05(0.0),7.770029827952385e-05(0.0)
51,2; 0; 8,"(4377, 4377)",0,19158676,38.320634,62.91456,4.741629119962454e-05(0.0),4.7367189545184374e-05(0.0)
52,2; 1; 1,"(4377, 4377)",0,19162506,38.351274,81.788928,0.00033591683954000475(0.0),0.0003361104009672999(0.0)
53,2; 1; 2,"(4377, 4377)",0,19160317,38.333762,62.91456,0.00017691769869998097(0.0),0.00017695877933874727(0.0)
54,2; 1; 4,"(4377, 4377)",0,19159223,38.32501,62.91456,9.816661011427641e-05(0.0),9.817362064495682e-05(0.0)
55,2; 1; 8,"(4377, 4377)",0,19158676,38.320634,62.91456,6.101276958361268e-05(0.0),6.09615701250732e-05(0.0)
56,2; 0; 1,"(4594, 4594)",0,21109430,42.246424,90.177536,0.0003553634905256331(0.0),0.0003554254095070064(0.0)
57,2; 0; 2,"(4594, 4594)",0,21107133,42.228048,69.206016,0.00018253043992444873(0.0),0.0001824912684969604(0.0)
58,2; 0; 4,"(4594, 4594)",0,21105984,42.218856,58.720256,8.469616062939167e-05(0.0),8.465989958494902e-05(0.0)
59,2; 0; 8,"(4594, 4594)",0,21105410,42.214264,67.108864,5.0543718971312045e-05(0.0),5.042007891461253e-05(0.0)
60,2; 1; 1,"(4594, 4594)",0,21109430,42.246424,90.177536,0.0003649195097386837(0.0),0.0003656957810744643(0.0)
61,2; 1; 2,"(4594, 4594)",0,21107133,42.228048,69.206016,0.00019093747017905115(0.0),0.00019060313934460282(0.0)
62,2; 1; 4,"(4594, 4594)",0,21105984,42.218856,58.720256,0.00010995916090905666(0.0),0.0001098346197977662(0.0)
63,2; 1; 8,"(4594, 4594)",0,21105410,42.214264,67.108864,6.673010066151618e-05(0.0),6.67249015532434e-05(0.0)
64,2; 0; 1,"(4801, 4801)",0,23054402,46.13761,94.37184,0.0003860003803856671(0.0),0.00038540294161066414(0.0)
65,2; 0; 2,"(4801, 4801)",0,23052001,46.118402,71.303168,0.00019885137910023333(0.0),0.0001989539689384401(0.0)
66,2; 0; 4,"(4801, 4801)",0,23050801,46.108802,60.817408,9.233084041625261e-05(0.0),9.231772040948272e-05(0.0)
67,2; 0; 8,"(4801, 4801)",0,23050201,46.104002,69.206016,5.428069969639182e-05(0.0),5.423191003501415e-05(0.0)
68,2; 1; 1,"(4801, 4801)",0,23054402,46.13761,94.37184,0.000399701539427042(0.0),0.00039943663869053126(0.0)
69,2; 1; 2,"(4801, 4801)",0,23052001,46.118402,71.303168,0.00020744096022099257(0.0),0.00020688541000708936(0.0)
70,2; 1; 4,"(4801, 4801)",0,23050801,46.108802,60.817408,0.00011536970967426896(0.0),0.00011525699868798255(0.0)
71,2; 1; 8,"(4801, 4801)",0,23050201,46.104002,69.206016,7.408554898574949e-05(0.0),7.412092061713338e-05(0.0)
72,2; 0; 1,"(5000, 5000)",0,25005000,50.04,102.760448,0.0004149436391890049(0.0),0.0004153899918310344(0.0)
73,2; 0; 2,"(5000, 5000)",0,25002500,50.02,77.594624,0.0002150566899217665(0.0),0.00021512893959879875(0.0)
74,2; 0; 4,"(5000, 5000)",0,25001250,50.01,65.011712,9.924043901264668e-05(0.0),9.918223135173321e-05(0.0)
75,2; 0; 8,"(5000, 5000)",0,25000625,50.005,73.40032,5.715816048905253e-05(0.0),5.70730003528297e-05(0.0)
76,2; 1; 1,"(5000, 5000)",0,25005000,50.04,102.760448,0.00044442993123084307(0.0),0.0004434184194542468(0.0)
77,2; 1; 2,"(5000, 5000)",0,25002500,50.02,77.594624,0.00023146010003983976(0.0),0.0002313055004924536(0.0)
78,2; 1; 4,"(5000, 5000)",0,25001250,50.01,65.011712,0.00012631866848096253(0.0),0.00012632939033210277(0.0)
79,2; 1; 8,"(5000, 5000)",0,25000625,50.005,73.40032,7.845022017136216e-05(0.0),7.839031051844359e-05(0.0)
80,2; 0; 1,"(5190, 5190)",0,26941290,53.91372,111.149056,0.0004429876897484064(0.0),0.00044376044999808076(0.0)
81,2; 0; 2,"(5190, 5190)",0,26938695,53.89296,83.88608,0.0002297681919299066(0.0),0.00022970957215875387(0.0)
82,2; 0; 4,"(5190, 5190)",0,26937397,53.882576,71.303168,0.0001084024109877646(0.0),0.00010838106973096729(0.0)
83,2; 0; 8,"(5190, 5190)",0,26936748,53.877384,77.594624,5.9584961272776125e-05(0.0),5.950590129941702e-05(0.0)
84,2; 1; 1,"(5190, 5190)",0,26941290,53.91372,111.149056,0.000473783768247813(0.0),0.00047382205026224255(0.0)
85,2; 1; 2,"(5190, 5190)",0,26938695,53.89296,83.88608,0.0002453924994915724(0.0),0.00024538809899240735(0.0)
86,2; 1; 4,"(5190, 5190)",0,26937397,53.882576,71.303168,0.00013590905116871(0.0),0.00013580033788457513(0.0)
87,2; 1; 8,"(5190, 5190)",0,26936748,53.877384,77.594624,8.208230836316944e-05(0.0),8.213000139221549e-05(0.0)
88,2; 0; 1,"(5374, 5374)",0,28885250,57.802744,119.537664,0.00047378947958350183(0.0),0.0004738993779756129(0.0)
89,2; 0; 2,"(5374, 5374)",0,28882563,57.781248,90.177536,0.0002463053306564689(0.0),0.00024639029055833816(0.0)
90,2; 0; 4,"(5374, 5374)",0,28881219,57.770496,75.497472,0.00011712964158505201(0.0),0.00012146807042881847(0.0)
91,2; 0; 8,"(5374, 5374)",0,28880547,57.76512,81.788928,6.246963050216437e-05(0.0),6.241391878575086e-05(0.0)
92,2; 1; 1,"(5374, 5374)",0,28885250,57.802744,119.537664,0.0005077437497675418(0.0),0.0005078891199082137(0.0)
93,2; 1; 2,"(5374, 5374)",0,28882563,57.781248,90.177536,0.00026495467871427534(0.0),0.0002647869591601193(0.0)
94,2; 1; 4,"(5374, 5374)",0,28881219,57.770496,75.497472,0.00014557116897776724(0.0),0.00014552308013662696(0.0)
95,2; 1; 8,"(5374, 5374)",0,28880547,57.76512,81.788928,8.739648154005409e-05(0.0),8.736241841688752e-05(0.0)
96,2; 0; 1,"(5552, 5552)",0,30830256,61.693824,127.926272,0.0005052583292126656(0.0),0.0005046654189936817(0.0)
97,2; 0; 2,"(5552, 5552)",0,30827480,61.671616,96.468992,0.000262408850248903(0.0),0.0002627099305391312(0.0)
98,2; 0; 4,"(5552, 5552)",0,30826092,61.660512,81.788928,0.00012802019948139786(0.0),0.00012772453017532827(0.0)
99,2; 0; 8,"(5552, 5552)",0,30825398,61.65496,85.983232,6.600954104214907e-05(0.0),6.59842905588448e-05(0.0)
100,2; 1; 1,"(5552, 5552)",0,30830256,61.693824,127.926272,0.0005421371385455131(0.0),0.0005422612791880965(0.0)
101,2; 1; 2,"(5552, 5552)",0,30827480,61.671616,96.468992,0.0002846174594014883(0.0),0.0002796256891451776(0.0)
102,2; 1; 4,"(5552, 5552)",0,30826092,61.660512,81.788928,0.00015554968034848572(0.0),0.00015541722998023034(0.0)
103,2; 1; 8,"(5552, 5552)",0,30825398,61.65496,85.983232,9.359451942145825e-05(0.0),9.358851937577129e-05(0.0)
104,2; 0; 1,"(5725, 5725)",0,32781350,65.59705,136.31488,0.0005348643497563899(0.0),0.0005365410284139216(0.0)
105,2; 0; 2,"(5725, 5725)",0,32778487,65.574146,102.760448,0.0002774619893170893(0.0),0.00027731049805879593(0.0)
106,2; 0; 4,"(5725, 5725)",0,32777056,65.562698,85.983232,0.00013650527922436594(0.0),0.0001367721799761057(0.0)
107,2; 0; 8,"(5725, 5725)",0,32776340,65.55697,90.177536,6.889560027047991e-05(0.0),6.887546973302961e-05(0.0)
108,2; 1; 1,"(5725, 5725)",0,32781350,65.59705,136.31488,0.0005789310880936682(0.0),0.0005786986392922699(0.0)
109,2; 1; 2,"(5725, 5725)",0,32778487,65.574146,102.760448,0.0002985363290645182(0.0),0.0002984798303805292(0.0)
110,2; 1; 4,"(5725, 5725)",0,32777056,65.562698,85.983232,0.00016235928051173688(0.0),0.00016230948967859148(0.0)
111,2; 1; 8,"(5725, 5725)",0,32776340,65.55697,90.177536,9.776704013347626e-05(0.0),9.776914957910776e-05(0.0)
112,2; 0; 1,"(5892, 5892)",0,34721556,69.478464,144.703488,0.0005613724002614618(0.0),0.0005617659399285912(0.0)
113,2; 0; 2,"(5892, 5892)",0,34718610,69.454896,109.051904,0.0002924078213982284(0.0),0.0002926780306734145(0.0)
114,2; 0; 4,"(5892, 5892)",0,34717137,69.443112,92.274688,0.0001451844209805131(0.0),0.00014552607899531722(0.0)
115,2; 0; 8,"(5892, 5892)",0,34716400,69.437216,94.37184,7.165643852204084e-05(0.0),7.160453824326397e-05(0.0)
116,2; 1; 1,"(5892, 5892)",0,34721556,69.478464,144.703488,0.0006219272897578776(0.0),0.000621777200140059(0.0)
117,2; 1; 2,"(5892, 5892)",0,34718610,69.454896,109.051904,0.00031988469883799554(0.0),0.0003202931792475283(0.0)
118,2; 1; 4,"(5892, 5892)",0,34717137,69.443112,92.274688,0.0001703309896402061(0.0),0.00017044441075995565(0.0)
119,2; 1; 8,"(5892, 5892)",0,34716400,69.437216,94.37184,0.00010187412146478892(0.0),0.00010181430960074067(0.0)
120,2; 0; 1,"(6055, 6055)",0,36669080,73.37449,148.897792,0.0005890903412364423(0.0),0.0005893412092700601(0.0)
121,2; 0; 2,"(6055, 6055)",0,36666052,73.350266,113.246208,0.0003048886684700847(0.0),0.0003051516809500754(0.0)
122,2; 0; 4,"(6055, 6055)",0,36664538,73.338154,94.37184,0.00015380597207695246(0.0),0.00015392139088362455(0.0)
123,2; 0; 8,"(6055, 6055)",0,36663781,73.332098,96.468992,7.456044899299741e-05(0.0),7.441997062414885e-05(0.0)
124,2; 1; 1,"(6055, 6055)",0,36669080,73.37449,148.897792,0.0006393325701355934(0.0),0.0006396463699638844(0.0)
125,2; 1; 2,"(6055, 6055)",0,36666052,73.350266,113.246208,0.00033454258926212787(0.0),0.000334588079713285(0.0)
126,2; 1; 4,"(6055, 6055)",0,36664538,73.338154,94.37184,0.0001794750289991498(0.0),0.00017929759109392763(0.0)
127,2; 1; 8,"(6055, 6055)",0,36663781,73.332098,96.468992,0.00010761559940874576(0.0),0.00010759326163679361(0.0)
128,2; 0; 1,"(6213, 6213)",0,38607582,77.252442,157.2864,0.0006193091091699899(0.0),0.00061884201830253(0.0)
129,2; 0; 2,"(6213, 6213)",0,38604475,77.227586,119.537664,0.00032115039881318807(0.0),0.00032147751888260244(0.0)
130,2; 0; 4,"(6213, 6213)",0,38602922,77.215162,100.663296,0.00016315368935465813(0.0),0.00016318003181368113(0.0)
131,2; 0; 8,"(6213, 6213)",0,38602145,77.208946,100.663296,7.787242066115141e-05(0.0),7.777513936161995e-05(0.0)
132,2; 1; 1,"(6213, 6213)",0,38607582,77.252442,157.2864,0.0006937188585288823(0.0),0.0006945275003090501(0.0)
133,2; 1; 2,"(6213, 6213)",0,38604475,77.227586,119.537664,0.0003533128602430224(0.0),0.0003532577585428953(0.0)
134,2; 1; 4,"(6213, 6213)",0,38602922,77.215162,100.663296,0.0001914840890094638(0.0),0.00019163488177582623(0.0)
135,2; 1; 8,"(6213, 6213)",0,38602145,77.208946,100.663296,0.00011571647133678198(0.0),0.00011569631984457373(0.0)
136,2; 0; 1,"(6368, 6368)",0,40557792,81.153792,165.675008,0.000644664759747684(0.0),0.0006445188820362091(0.0)
137,2; 0; 2,"(6368, 6368)",0,40554608,81.12832,125.82912,0.0003346499800682068(0.0),0.00033449698938056824(0.0)
138,2; 0; 4,"(6368, 6368)",0,40553016,81.115584,104.8576,0.0001699241204187274(0.0),0.0001697314507327974(0.0)
139,2; 0; 8,"(6368, 6368)",0,40552220,81.109216,104.8576,8.025102084502578e-05(0.0),8.019973058253526e-05(0.0)
140,2; 1; 1,"(6368, 6368)",0,40557792,81.153792,165.675008,0.0006939678196795284(0.0),0.0006935879006050527(0.0)
141,2; 1; 2,"(6368, 6368)",0,40554608,81.12832,125.82912,0.00036607063841074703(0.0),0.00036618545884266497(0.0)
142,2; 1; 4,"(6368, 6368)",0,40553016,81.115584,104.8576,0.00019885685993358492(0.0),0.00019881348125636578(0.0)
143,2; 1; 8,"(6368, 6368)",0,40552220,81.109216,104.8576,0.00012052407022565603(0.0),0.00012040463974699378(0.0)
144,2; 0; 1,"(6519, 6519)",0,42503880,85.046874,174.063616,0.0006745247589424252(0.0),0.0006744245695881546(0.0)
145,2; 0; 2,"(6519, 6519)",0,42500620,85.020794,132.120576,0.00035021578893065455(0.0),0.00034979378106072547(0.0)
146,2; 0; 4,"(6519, 6519)",0,42498990,85.007754,111.149056,0.0001808752794750035(0.0),0.00017910812981426717(0.0)
147,2; 0; 8,"(6519, 6519)",0,42498175,85.001234,100.663296,8.423318155109883e-05(0.0),8.40450101532042e-05(0.0)
148,2; 1; 1,"(6519, 6519)",0,42503880,85.046874,174.063616,0.0007484239409677685(0.0),0.0007476894510909915(0.0)
149,2; 1; 2,"(6519, 6519)",0,42500620,85.020794,132.120576,0.00038649866124615076(0.0),0.0003862801496870816(0.0)
150,2; 1; 4,"(6519, 6519)",0,42498990,85.007754,111.149056,0.00020493258023634553(0.0),0.00020556958159431815(0.0)
151,2; 1; 8,"(6519, 6519)",0,42498175,85.001234,100.663296,0.00012323921080678702(0.0),0.0001231287093833089(0.0)
152,2; 0; 1,"(6666, 6666)",0,44442222,88.92444,182.452224,0.0007032265583984553(0.0),0.0007035544794052839(0.0)
153,2; 0; 2,"(6666, 6666)",0,44438889,88.897776,138.412032,0.00036525899078696964(0.0),0.0003652337403036654(0.0)
154,2; 0; 4,"(6666, 6666)",0,44437222,88.88444,115.34336,0.00018709315918385983(0.0),0.00018713803961873055(0.0)
155,2; 0; 8,"(6666, 6666)",0,44436389,88.877776,104.8576,8.782268967479468e-05(0.0),8.772638859227299e-05(0.0)
156,2; 1; 1,"(6666, 6666)",0,44442222,88.92444,182.452224,0.0007858089986257256(0.0),0.0007862479286268354(0.0)
157,2; 1; 2,"(6666, 6666)",0,44438889,88.897776,138.412032,0.00040744155179709194(0.0),0.00040699420031160117(0.0)
158,2; 1; 4,"(6666, 6666)",0,44437222,88.88444,115.34336,0.00021833267994225025(0.0),0.0002183701517060399(0.0)
159,2; 1; 8,"(6666, 6666)",0,44436389,88.877776,104.8576,0.00012919530970975757(0.0),0.00012902659131214022(0.0)
160,2; 0; 1,"(6810, 6810)",0,46382910,92.80668,190.840832,0.0007313689007423818(0.0),0.0007307126605883241(0.0)
161,2; 0; 2,"(6810, 6810)",0,46379505,92.77944,144.703488,0.0003792195487767458(0.0),0.0003788641793653369(0.0)
162,2; 0; 4,"(6810, 6810)",0,46377802,92.765816,121.634816,0.00019581719068810345(0.0),0.0001957225101068616(0.0)
163,2; 0; 8,"(6810, 6810)",0,46376951,92.759008,109.051904,9.161907946690917e-05(0.0),9.152208920568228e-05(0.0)
164,2; 1; 1,"(6810, 6810)",0,46382910,92.80668,190.840832,0.0008236729609780014(0.0),0.000823819839861244(0.0)
165,2; 1; 2,"(6810, 6810)",0,46379505,92.77944,144.703488,0.0004240886098705232(0.0),0.0004238883196376264(0.0)
166,2; 1; 4,"(6810, 6810)",0,46377802,92.765816,121.634816,0.00023290699813514947(0.0),0.00023180140880867838(0.0)
167,2; 1; 8,"(6810, 6810)",0,46376951,92.759008,109.051904,0.00013810558943077922(0.0),0.00013821491040289402(0.0)
168,2; 0; 1,"(6952, 6952)",0,48337256,96.716224,199.22944,0.0007606790494173765(0.0),0.0007610569708049297(0.0)
169,2; 0; 2,"(6952, 6952)",0,48333780,96.688416,150.994944,0.00039323712000623347(0.0),0.0003928233403712511(0.0)
170,2; 0; 4,"(6952, 6952)",0,48332042,96.674512,125.82912,0.0002043054811656475(0.0),0.00020418025087565184(0.0)
171,2; 0; 8,"(6952, 6952)",0,48331173,96.66756,113.246208,9.487264091148973e-05(0.0),9.485380025580525e-05(0.0)
172,2; 1; 1,"(6952, 6952)",0,48337256,96.716224,199.22944,0.0008566331304609775(0.0),0.0008559381100349128(0.0)
173,2; 1; 2,"(6952, 6952)",0,48333780,96.688416,150.994944,0.00043677615001797677(0.0),0.00043654331006109714(0.0)
174,2; 1; 4,"(6952, 6952)",0,48332042,96.674512,125.82912,0.00023862314177677035(0.0),0.0002382727712392807(0.0)
175,2; 1; 8,"(6952, 6952)",0,48331173,96.66756,113.246208,0.00014026509132236242(0.0),0.0001400482701137662(0.0)
176,2; 0; 1,"(7090, 7090)",0,50275190,100.59292,203.423744,0.0007863459992222488(0.0),0.0007861318718641997(0.0)
177,2; 0; 2,"(7090, 7090)",0,50271645,100.56456,153.092096,0.0004063901491463184(0.0),0.00040623835986480116(0.0)
178,2; 0; 4,"(7090, 7090)",0,50269872,100.550376,127.926272,0.00021024403860792518(0.0),0.00021000507986173033(0.0)
179,2; 0; 8,"(7090, 7090)",0,50268986,100.543288,115.34336,0.00010006247088313102(0.0),0.0001001301989890635(0.0)
180,2; 1; 1,"(7090, 7090)",0,50275190,100.59292,203.423744,0.0008930586581118405(0.0),0.000892795268446207(0.0)
181,2; 1; 2,"(7090, 7090)",0,50271645,100.56456,153.092096,0.00046795293921604754(0.0),0.00046785946004092695(0.0)
182,2; 1; 4,"(7090, 7090)",0,50269872,100.550376,127.926272,0.0002482112101279199(0.0),0.00024840007070451973(0.0)
183,2; 1; 8,"(7090, 7090)",0,50268986,100.543288,115.34336,0.00014519683085381985(0.0),0.00014725062064826488(0.0)
184,2; 0; 1,"(7226, 7226)",0,52222302,104.48796,211.812352,0.0008165298006497324(0.0),0.0008157519111409783(0.0)
185,2; 0; 2,"(7226, 7226)",0,52218689,104.459056,159.383552,0.0004205696191638708(0.0),0.0004202708508819342(0.0)
186,2; 0; 4,"(7226, 7226)",0,52216882,104.4446,134.217728,0.00021826833952218294(0.0),0.00021810031961649656(0.0)
187,2; 0; 8,"(7226, 7226)",0,52215979,104.437376,121.634816,0.00010277882916852832(0.0),0.00010256201960146428(0.0)
188,2; 1; 1,"(7226, 7226)",0,52222302,104.48796,211.812352,0.0009230333706364036(0.0),0.0009227874991483986(0.0)
189,2; 1; 2,"(7226, 7226)",0,52218689,104.459056,159.383552,0.0004737385897897184(0.0),0.0004739895719103515(0.0)
190,2; 1; 4,"(7226, 7226)",0,52216882,104.4446,134.217728,0.00025781399803236126(0.0),0.0002577483793720603(0.0)
191,2; 1; 8,"(7226, 7226)",0,52215979,104.437376,121.634816,0.00015558782033622264(0.0),0.0001554892398416996(0.0)
192,2; 0; 1,"(7359, 7359)",0,54162240,108.368634,220.20096,0.0008430937305092812(0.0),0.0008422460220754147(0.0)
193,2; 0; 2,"(7359, 7359)",0,54158560,108.339194,165.675008,0.00043460902059450746(0.0),0.000434519350528717(0.0)
194,2; 0; 4,"(7359, 7359)",0,54156720,108.324474,138.412032,0.00022535796975716948(0.0),0.00022501060971990227(0.0)
195,2; 0; 8,"(7359, 7359)",0,54155800,108.317114,125.82912,0.00010674203978851438(0.0),0.00010653404984623194(0.0)
196,2; 1; 1,"(7359, 7359)",0,54162240,108.368634,220.20096,0.000960321738384664(0.0),0.0009612367697991431(0.0)
197,2; 1; 2,"(7359, 7359)",0,54158560,108.339194,165.675008,0.00048570939106866716(0.0),0.00048529530176892876(0.0)
198,2; 1; 4,"(7359, 7359)",0,54156720,108.324474,138.412032,0.0002567868516780436(0.0),0.00025656401878222825(0.0)
199,2; 1; 8,"(7359, 7359)",0,54155800,108.317114,125.82912,0.00016105467919260262(0.0),0.00016115096863359213(0.0)
200,2; 0; 1,"(7490, 7490)",0,56107590,112.26012,228.589568,0.0008680417016148568(0.0),0.0008682057098485529(0.0)
201,2; 0; 2,"(7490, 7490)",0,56103845,112.23016,171.966464,0.00044730698922649024(0.0),0.0004473277204670012(0.0)
202,2; 0; 4,"(7490, 7490)",0,56101972,112.215176,144.703488,0.0002330377302132547(0.0),0.00023298764135688544(0.0)
203,2; 0; 8,"(7490, 7490)",0,56101036,112.207688,130.023424,0.00011149703990668059(0.0),0.00011184261180460453(0.0)
204,2; 1; 1,"(7490, 7490)",0,56107590,112.26012,228.589568,0.0010192484105937183(0.0),0.001018990429583937(0.0)
205,2; 1; 2,"(7490, 7490)",0,56103845,112.23016,171.966464,0.00051448212005198(0.0),0.0005143022793345154(0.0)
206,2; 1; 4,"(7490, 7490)",0,56101972,112.215176,144.703488,0.00027886779978871347(0.0),0.00027917397907003763(0.0)
207,2; 1; 8,"(7490, 7490)",0,56101036,112.207688,130.023424,0.0001608997886069119(0.0),0.000160833562258631(0.0)
208,2; 0; 1,"(7619, 7619)",0,58056780,116.159274,236.978176,0.0009268946386873722(0.0),0.0009266435680910945(0.0)
209,2; 0; 2,"(7619, 7619)",0,58052970,116.128794,178.25792,0.0004613172309473157(0.0),0.0004610944096930325(0.0)
210,2; 0; 4,"(7619, 7619)",0,58051065,116.113554,148.897792,0.00023979864083230494(0.0),0.0002397621818818152(0.0)
