,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
273,2 square 1,"(871, 871)",0,1517282,7.58641,23.068672,0.00016967207891866565(0.0)
274,2 square 0,"(882, 882)",0,1555848,7.77924,23.068672,0.00019472679123282431(0.0)
275,2 square 1,"(882, 882)",0,1555848,7.77924,23.068672,0.0001726018381305039(0.0)
276,2 square 0,"(893, 893)",0,1594898,7.97449,23.068672,0.00019747780868783593(0.0)
277,2 square 1,"(893, 893)",0,1594898,7.97449,23.068672,0.00017563460860401393(0.0)
278,2 square 0,"(904, 904)",0,1634432,8.17216,23.068672,0.0002004934404976666(0.0)
279,2 square 1,"(904, 904)",0,1634432,8.17216,23.068672,0.0001770669291727245(0.0)
280,2 square 0,"(915, 915)",0,1674450,8.37225,23.068672,0.00020324297016486526(0.0)
281,2 square 1,"(915, 915)",0,1674450,8.37225,23.068672,0.0001829571113921702(0.0)
282,2 square 0,"(926, 926)",0,1714952,8.57476,23.068672,0.00020561397075653077(0.0)
283,2 square 1,"(926, 926)",0,1714952,8.57476,23.068672,0.0001833012793213129(0.0)
284,2 square 0,"(936, 936)",0,1752192,8.76096,23.068672,0.0002066445304080844(0.0)
285,2 square 1,"(936, 936)",0,1752192,8.76096,23.068672,0.00018420788925141096(0.0)
286,2 square 0,"(947, 947)",0,1793618,8.96809,23.068672,0.0002107181609608233(0.0)
287,2 square 1,"(947, 947)",0,1793618,8.96809,23.068672,0.00018903366988524796(0.0)
288,2 square 0,"(957, 957)",0,1831698,9.15849,23.068672,0.00021128765074536205(0.0)
289,2 square 1,"(957, 957)",0,1831698,9.15849,23.068672,0.00019228093093261124(0.0)
290,2 square 0,"(967, 967)",0,1870178,9.35089,23.068672,0.00021325347945094108(0.0)
291,2 square 1,"(967, 967)",0,1870178,9.35089,23.068672,0.00019352539908140898(0.0)
292,2 square 0,"(977, 977)",0,1909058,9.54529,23.068672,0.0002186803985387087(0.0)
293,2 square 1,"(977, 977)",0,1909058,9.54529,23.068672,0.00019741829950362444(0.0)
294,2 square 0,"(987, 987)",0,1948338,9.74169,23.068672,0.00022058942122384905(0.0)
295,2 square 1,"(987, 987)",0,1948338,9.74169,23.068672,0.0002003207104280591(0.0)
296,2 square 0,"(997, 997)",0,1988018,9.94009,23.068672,0.00022087145131081343(0.0)
297,2 square 1,"(997, 997)",0,1988018,9.94009,23.068672,0.00020247760927304625(0.0)
298,2 square 0,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00022178839892148973(0.0)
299,2 square 1,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00020517544122412802(0.0)
300,2 square 0,"(1017, 1017)",0,2068578,10.34289,23.068672,0.00022480543004348873(0.0)
301,2 square 1,"(1017, 1017)",0,2068578,10.34289,23.068672,0.0002078407001681626(0.0)
302,2 square 0,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00023301964160054922(0.0)
303,2 square 1,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00021093537099659443(0.0)
304,2 square 0,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00022922552190721035(0.0)
305,2 square 1,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00021121802041307091(0.0)
306,2 square 0,"(1045, 1045)",0,2184050,10.92025,23.068672,0.00023725558072328567(0.0)
307,2 square 1,"(1045, 1045)",0,2184050,10.92025,23.068672,0.0002143031684681773(0.0)
308,2 square 0,"(1055, 1055)",0,2226050,11.13025,23.068672,0.0002375703793950379(0.0)
309,2 square 1,"(1055, 1055)",0,2226050,11.13025,23.068672,0.0002197632403112948(0.0)
310,2 square 0,"(1064, 1064)",0,2264192,11.32096,23.068672,0.00023722682148218154(0.0)
311,2 square 1,"(1064, 1064)",0,2264192,11.32096,23.068672,0.0002201218204572797(0.0)
312,2 square 0,"(1073, 1073)",0,2302658,11.51329,23.068672,0.00023880432127043605(0.0)
313,2 square 1,"(1073, 1073)",0,2302658,11.51329,23.068672,0.0002252605906687677(0.0)
314,2 square 0,"(1082, 1082)",0,2341448,11.70724,23.068672,0.00024010289926081895(0.0)
315,2 square 1,"(1082, 1082)",0,2341448,11.70724,23.068672,0.0002258178498595953(0.0)
316,2 square 0,"(1091, 1091)",0,2380562,11.90281,23.068672,0.0002420383715070784(0.0)
317,2 square 1,"(1091, 1091)",0,2380562,11.90281,23.068672,0.00022876764880493282(0.0)
318,2 square 0,"(1100, 1100)",0,2420000,12.1,23.068672,0.0002467822888866067(0.0)
319,2 square 1,"(1100, 1100)",0,2420000,12.1,23.068672,0.00022965903859585525(0.0)
320,2 square 0,"(1109, 1109)",0,2459762,12.29881,23.068672,0.0002448977087624371(0.0)
321,2 square 1,"(1109, 1109)",0,2459762,12.29881,23.068672,0.00023216882022097707(0.0)
322,2 square 0,"(1118, 1118)",0,2499848,12.49924,23.068672,0.00024737901985645295(0.0)
323,2 square 1,"(1118, 1118)",0,2499848,12.49924,23.068672,0.0002330757398158312(0.0)
324,2 square 0,"(1127, 1127)",0,2540258,12.70129,23.068672,0.0002513443399220705(0.0)
325,2 square 1,"(1127, 1127)",0,2540258,12.70129,23.068672,0.00023755745030939579(0.0)
326,2 square 0,"(1136, 1136)",0,2580992,12.90496,23.068672,0.0002574050589464605(0.0)
327,2 square 1,"(1136, 1136)",0,2580992,12.90496,23.068672,0.0002404784015379846(0.0)
328,2 square 0,"(1144, 1144)",0,2617472,13.08736,23.068672,0.0002530682203359902(0.0)
329,2 square 1,"(1144, 1144)",0,2617472,13.08736,23.068672,0.00024125878000631927(0.0)
330,2 square 0,"(1153, 1153)",0,2658818,13.29409,23.068672,0.00026781413005664943(0.0)
331,2 square 1,"(1153, 1153)",0,2658818,13.29409,23.068672,0.0002445606584660709(0.0)
332,2 square 0,"(1161, 1161)",0,2695842,13.47921,23.068672,0.0002572014695033431(0.0)
333,2 square 1,"(1161, 1161)",0,2695842,13.47921,23.068672,0.00024965874152258036(0.0)
334,2 square 0,"(1170, 1170)",0,2737800,13.689,23.068672,0.0002617187611758709(0.0)
335,2 square 1,"(1170, 1170)",0,2737800,13.689,23.068672,0.0002503555710427463(0.0)
336,2 square 0,"(1178, 1178)",0,2775368,13.87684,23.068672,0.00026298044947907327(0.0)
337,2 square 1,"(1178, 1178)",0,2775368,13.87684,23.068672,0.0002512326301075518(0.0)
338,2 square 0,"(1187, 1187)",0,2817938,14.08969,44.040192,0.0002634510491043329(0.0)
339,2 square 1,"(1187, 1187)",0,2817938,14.08969,44.040192,0.0002563991490751505(0.0)
340,2 square 0,"(1195, 1195)",0,2856050,14.28025,44.040192,0.000265125019941479(0.0)
341,2 square 1,"(1195, 1195)",0,2856050,14.28025,44.040192,0.00025919044855982065(0.0)
342,2 square 0,"(1203, 1203)",0,2894418,14.47209,44.040192,0.00027260513976216314(0.0)
343,2 square 1,"(1203, 1203)",0,2894418,14.47209,44.040192,0.0002626712596975267(0.0)
344,2 square 0,"(1211, 1211)",0,2933042,14.66521,44.040192,0.0002696680510416627(0.0)
345,2 square 1,"(1211, 1211)",0,2933042,14.66521,44.040192,0.0002644598507322371(0.0)
346,2 square 0,"(1219, 1219)",0,2971922,14.85961,44.040192,0.0002720456710085273(0.0)
347,2 square 1,"(1219, 1219)",0,2971922,14.85961,44.040192,0.00026830896036699413(0.0)
348,2 square 0,"(1227, 1227)",0,3011058,15.05529,44.040192,0.0002767868689261377(0.0)
349,2 square 1,"(1227, 1227)",0,3011058,15.05529,44.040192,0.00026958819944411516(0.0)
350,2 square 0,"(1235, 1235)",0,3050450,15.25225,44.040192,0.0002765283803455532(0.0)
351,2 square 1,"(1235, 1235)",0,3050450,15.25225,44.040192,0.0002699653198942542(0.0)
352,2 square 0,"(1243, 1243)",0,3090098,15.45049,44.040192,0.0002791843400336802(0.0)
353,2 square 1,"(1243, 1243)",0,3090098,15.45049,44.040192,0.00027400187915191057(0.0)
354,2 square 0,"(1251, 1251)",0,3130002,15.65001,44.040192,0.0002798613207414746(0.0)
355,2 square 1,"(1251, 1251)",0,3130002,15.65001,44.040192,0.00027824804885312915(0.0)
356,2 square 0,"(1259, 1259)",0,3170162,15.85081,44.040192,0.000287083238363266(0.0)
357,2 square 1,"(1259, 1259)",0,3170162,15.85081,44.040192,0.0002795589389279485(0.0)
358,2 square 0,"(1267, 1267)",0,3210578,16.05289,44.040192,0.00028707492165267465(0.0)
359,2 square 1,"(1267, 1267)",0,3210578,16.05289,44.040192,0.0002834259998053312(0.0)
360,2 square 0,"(1275, 1275)",0,3251250,16.25625,44.040192,0.0002860468695871532(0.0)
361,2 square 1,"(1275, 1275)",0,3251250,16.25625,44.040192,0.00028325595892965795(0.0)
362,2 square 0,"(1282, 1282)",0,3287048,16.43524,44.040192,0.0002881215000525117(0.0)
363,2 square 1,"(1282, 1282)",0,3287048,16.43524,44.040192,0.0002868282399140298(0.0)
364,2 square 0,"(1290, 1290)",0,3328200,16.641,44.040192,0.00029106400208547714(0.0)
365,2 square 1,"(1290, 1290)",0,3328200,16.641,44.040192,0.0002909152093343437(0.0)
366,2 square 0,"(1298, 1298)",0,3369608,16.84804,44.040192,0.00029123470885679127(0.0)
367,2 square 1,"(1298, 1298)",0,3369608,16.84804,44.040192,0.00029707671143114567(0.0)
368,2 square 0,"(1305, 1305)",0,3406050,17.03025,44.040192,0.00029359228909015656(0.0)
369,2 square 1,"(1305, 1305)",0,3406050,17.03025,44.040192,0.00029730754904448985(0.0)
370,2 square 0,"(1313, 1313)",0,3447938,17.23969,44.040192,0.00029852286214008926(0.0)
371,2 square 1,"(1313, 1313)",0,3447938,17.23969,44.040192,0.0002949171094223857(0.0)
372,2 square 0,"(1320, 1320)",0,3484800,17.424,44.040192,0.00029810968087986113(0.0)
373,2 square 1,"(1320, 1320)",0,3484800,17.424,44.040192,0.0003004309884272516(0.0)
374,2 square 0,"(1328, 1328)",0,3527168,17.63584,44.040192,0.0002997571090236306(0.0)
375,2 square 1,"(1328, 1328)",0,3527168,17.63584,44.040192,0.00030675058951601386(0.0)
376,2 square 0,"(1335, 1335)",0,3564450,17.82225,44.040192,0.00030650974018499256(0.0)
377,2 square 1,"(1335, 1335)",0,3564450,17.82225,44.040192,0.00031022178940474986(0.0)
378,2 square 0,"(1342, 1342)",0,3601928,18.00964,44.040192,0.00030936766881495715(0.0)
379,2 square 1,"(1342, 1342)",0,3601928,18.00964,44.040192,0.0003136119293048978(0.0)
380,2 square 0,"(1350, 1350)",0,3645000,18.225,44.040192,0.0003061564592644572(0.0)
381,2 square 1,"(1350, 1350)",0,3645000,18.225,44.040192,0.0003148065903224051(0.0)
382,2 square 0,"(1357, 1357)",0,3682898,18.41449,44.040192,0.00031085057882592084(0.0)
383,2 square 1,"(1357, 1357)",0,3682898,18.41449,44.040192,0.00031993292039260267(0.0)
384,2 square 0,"(1364, 1364)",0,3720992,18.60496,44.040192,0.00031371392076835037(0.0)
385,2 square 1,"(1364, 1364)",0,3720992,18.60496,44.040192,0.00031959688989445566(0.0)
386,2 square 0,"(1371, 1371)",0,3759282,18.79641,44.040192,0.00031447745859622953(0.0)
387,2 square 1,"(1371, 1371)",0,3759282,18.79641,44.040192,0.00032349550165236(0.0)
388,2 square 0,"(1378, 1378)",0,3797768,18.98884,44.040192,0.00031622979091480377(0.0)
389,2 square 1,"(1378, 1378)",0,3797768,18.98884,44.040192,0.00032853246899321674(0.0)
390,2 square 0,"(1386, 1386)",0,3841992,19.20996,44.040192,0.0003195936814881861(0.0)
391,2 square 1,"(1386, 1386)",0,3841992,19.20996,44.040192,0.00032857265090569855(0.0)
392,2 square 0,"(1393, 1393)",0,3880898,19.40449,44.040192,0.0007663081819191575(0.0)
393,2 square 1,"(1393, 1393)",0,3880898,19.40449,44.040192,0.00047390084946528075(0.0)
394,2 square 0,"(1400, 1400)",0,3920000,19.6,44.040192,0.0003248641011305153(0.0)
395,2 square 1,"(1400, 1400)",0,3920000,19.6,44.040192,0.0005203567002899944(0.0)
396,2 square 0,"(1407, 1407)",0,3959298,19.79649,44.040192,0.00032656661933287977(0.0)
397,2 square 1,"(1407, 1407)",0,3959298,19.79649,44.040192,0.00033769706962630155(0.0)
398,2 square 0,"(1414, 1414)",0,3998792,19.99396,44.040192,0.0003286110097542405(0.0)
399,2 square 1,"(1414, 1414)",0,3998792,19.99396,44.040192,0.0003402988100424409(0.0)
400,4 square 0,"(223, 223)",0,99458,0.49729,2.097152,9.360615164041519e-05(0.0)
401,4 square 1,"(223, 223)",0,99458,0.49729,2.097152,9.06009296886623e-05(0.0)
402,4 square 0,"(264, 264)",0,139392,0.69696,2.097152,9.251106064766645e-05(0.0)
403,4 square 1,"(264, 264)",0,139392,0.69696,2.097152,9.086171863600611e-05(0.0)
404,4 square 0,"(298, 298)",0,177608,0.88804,2.097152,0.00011883456958457828(0.0)
405,4 square 1,"(298, 298)",0,177608,0.88804,2.097152,9.889257838949561e-05(0.0)
406,4 square 0,"(330, 330)",0,217800,1.089,2.097152,0.00010611810022965074(0.0)
