,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (fuse) (IQR),GPU clock time (no fuse) (IQR)
42,2; 0; 1,"(6952, 6952)",0,48337256,96.716224,606.076928,0.0021960943401791153(0.0),0.002195622269064188(0.0)
43,2; 1; 1,"(6952, 6952)",0,48337256,96.716224,396.361728,0.004257610568311065(0.0),0.004260261580348015(0.0)
44,2; 0; 1,"(7090, 7090)",0,50275190,100.59292,503.31648,0.0023066430003382266(0.0),0.002306434710044414(0.0)
45,2; 1; 1,"(7090, 7090)",0,50275190,100.59292,404.750336,0.004454274571035057(0.0),0.0044553935597650704(0.0)
46,2; 0; 1,"(7226, 7226)",0,52222302,104.48796,522.190848,0.0023882415611296893(0.0),0.0023887722613289953(0.0)
47,2; 1; 1,"(7226, 7226)",0,52222302,104.48796,421.527552,0.004623723758850246(0.0),0.004622636910062284(0.0)
48,2; 0; 1,"(7359, 7359)",0,54162240,108.368634,543.162368,0.002496640970930457(0.0),0.0024970341101288795(0.0)
49,2; 1; 1,"(7359, 7359)",0,54162240,108.368634,438.304768,0.0048973423196002844(0.0),0.0048930590995587405(0.0)
50,2; 0; 1,"(7490, 7490)",0,56107590,112.26012,564.133888,0.002560198751743883(0.0),0.002559647720772773(0.0)
51,2; 1; 1,"(7490, 7490)",0,56107590,112.26012,455.081984,0.004996787388809026(0.0),0.004995724910404533(0.0)
52,2; 0; 1,"(7619, 7619)",0,58056780,116.159274,585.105408,0.002666545789688826(0.0),0.0026667886413633823(0.0)
53,2; 1; 1,"(7619, 7619)",0,58056780,116.159274,471.8592,0.005100519719999284(0.0),0.005101823129225522(0.0)
54,2; 0; 1,"(7745, 7745)",0,59992770,120.03201,606.076928,0.0027444831491447983(0.0),0.002744851070456207(0.0)
55,2; 1; 1,"(7745, 7745)",0,59992770,120.03201,488.636416,0.005324630041141063(0.0),0.005323961060494185(0.0)
56,2; 0; 1,"(7870, 7870)",0,61944770,123.93676,627.048448,0.0028060759813524783(0.0),0.0028070334997028113(0.0)
57,2; 1; 1,"(7870, 7870)",0,61944770,123.93676,505.413632,0.005440257939044386(0.0),0.0054416274605318905(0.0)
58,2; 0; 1,"(7993, 7993)",0,63896042,127.840042,639.63136,0.0029279198101721704(0.0),0.0029184593399986625(0.0)
59,2; 1; 1,"(7993, 7993)",0,63896042,127.840042,513.80224,0.005679640229791403(0.0),0.005680198851041496(0.0)
60,2; 0; 1,"(8113, 8113)",0,65828882,131.706442,658.505728,0.0029988785018213093(0.0),0.0029976133489981295(0.0)
61,2; 1; 1,"(8113, 8113)",0,65828882,131.706442,530.579456,0.00580222591990605(0.0),0.005800405971240252(0.0)
62,2; 0; 1,"(8232, 8232)",0,67774056,135.597504,679.477248,0.003011544900946319(0.0),0.003012102278880775(0.0)
63,2; 1; 1,"(8232, 8232)",0,67774056,135.597504,547.356672,0.006048502391204238(0.0),0.006055693330708891(0.0)
64,2; 0; 1,"(8349, 8349)",0,69714150,139.478394,700.448768,0.003140482238959521(0.0),0.003140029199421406(0.0)
65,2; 1; 1,"(8349, 8349)",0,69714150,139.478394,564.133888,0.006234490179922432(0.0),0.006236875241156668(0.0)
66,2; 0; 1,"(8465, 8465)",0,71664690,143.38017,721.420288,0.0032355233607813715(0.0),0.003233395759016275(0.0)
67,2; 1; 1,"(8465, 8465)",0,71664690,143.38017,580.911104,0.006352481730282307(0.0),0.006354084520135075(0.0)
68,2; 0; 1,"(8579, 8579)",0,73607820,147.267114,742.391808,0.0033060816302895547(0.0),0.0033058001194149257(0.0)
69,2; 1; 1,"(8579, 8579)",0,73607820,147.267114,597.68832,0.0065942830685526135(0.0),0.006586205579806119(0.0)
70,2; 0; 1,"(8692, 8692)",0,75559556,151.171264,763.363328,0.003370633248705417(0.0),0.003370238449424505(0.0)
71,2; 1; 1,"(8692, 8692)",0,75559556,151.171264,614.465536,0.006684764660894871(0.0),0.00668391594896093(0.0)
72,2; 0; 1,"(8803, 8803)",0,77501612,155.056042,775.94624,0.003479280099272728(0.0),0.0034764271392486988(0.0)
73,2; 1; 1,"(8803, 8803)",0,77501612,155.056042,622.854144,0.007144762838725001(0.0),0.007139647139701992(0.0)
74,2; 0; 1,"(8913, 8913)",0,79450482,158.954442,794.820608,0.003564710798673332(0.0),0.003565191519446671(0.0)
75,2; 1; 1,"(8913, 8913)",0,79450482,158.954442,639.63136,0.007468699710443616(0.0),0.007481799130327999(0.0)
76,2; 0; 1,"(9021, 9021)",0,81387462,162.82905,815.792128,0.003659299500286579(0.0),0.00365847374079749(0.0)
77,2; 1; 1,"(9021, 9021)",0,81387462,162.82905,656.408576,0.0071436800411902365(0.0),0.00714443844044581(0.0)
78,2; 0; 1,"(9128, 9128)",0,83329512,166.713792,836.763648,0.0036956095811910925(0.0),0.003695293131750077(0.0)
79,2; 1; 1,"(9128, 9128)",0,83329512,166.713792,673.185792,0.007941467280033976(0.0),0.007932914509437979(0.0)
80,2; 0; 1,"(9234, 9234)",0,85275990,170.607384,857.735168,0.0038741155504249036(0.0),0.003870889761019498(0.0)
81,2; 1; 1,"(9234, 9234)",0,85275990,170.607384,689.963008,0.007570174098946154(0.0),0.007581210928037763(0.0)
82,2; 0; 1,"(9339, 9339)",0,87226260,174.508554,878.706688,0.003950925068929792(0.0),0.003949463129974902(0.0)
83,2; 1; 1,"(9339, 9339)",0,87226260,174.508554,706.740224,0.007954961080104113(0.0),0.007959748511202633(0.0)
84,2; 0; 1,"(9442, 9442)",0,89160806,178.378264,899.678208,0.004007489469368011(0.0),0.004007967670913786(0.0)
85,2; 1; 1,"(9442, 9442)",0,89160806,178.378264,723.51744,0.007982022271025926(0.0),0.007985374669078737(0.0)
86,2; 0; 1,"(9545, 9545)",0,91116570,182.29041,912.26112,0.004099136218428612(0.0),0.004096806249581277(0.0)
87,2; 1; 1,"(9545, 9545)",0,91116570,182.29041,731.906048,0.008624348749872297(0.0),0.008616882939822972(0.0)
88,2; 0; 1,"(9646, 9646)",0,93054962,186.1678,931.135488,0.004151604799553752(0.0),0.004152724510058761(0.0)
89,2; 1; 1,"(9646, 9646)",0,93054962,186.1678,748.683264,0.008155791289173066(0.0),0.008154083639383317(0.0)
90,2; 0; 1,"(9746, 9746)",0,94994262,190.047,952.107008,0.004230151218362153(0.0),0.0042295187618583445(0.0)
91,2; 1; 1,"(9746, 9746)",0,94994262,190.047,765.46048,0.00906884873053059(0.0),0.009071040467824787(0.0)
92,2; 0; 1,"(9846, 9846)",0,96953562,193.9662,973.078528,0.004312533109914512(0.0),0.00431443024193868(0.0)
93,2; 1; 1,"(9846, 9846)",0,96953562,193.9662,782.237696,0.008860422540456056(0.0),0.008864564260002226(0.0)
94,2; 0; 1,"(9944, 9944)",0,98893080,197.845824,994.050048,0.004322726109530777(0.0),0.004319403669796884(0.0)
95,2; 1; 1,"(9944, 9944)",0,98893080,197.845824,799.014912,0.01021318627987057(0.0),0.010213100449182094(0.0)
96,2; 0; 1,"(10041, 10041)",0,100831722,201.72369,1015.021568,0.004504468569066376(0.0),0.004504194369073958(0.0)
97,2; 1; 1,"(10041, 10041)",0,100831722,201.72369,815.792128,0.009052592241205274(0.0),0.00904949378920719(0.0)
98,2; 0; 1,"(10137, 10137)",0,102768906,205.598634,1027.60448,0.004574813737999648(0.0),0.004573967950418592(0.0)
99,2; 1; 1,"(10137, 10137)",0,102768906,205.598634,824.180736,0.009893855201080442(0.0),0.009971551829949021(0.0)
100,2; 0; 1,"(10233, 10233)",0,104724522,209.510442,1046.478848,0.0046643496700562535(0.0),0.0046642525098286565(0.0)
101,2; 1; 1,"(10233, 10233)",0,104724522,209.510442,840.957952,0.010542267360724509(0.0),0.010556977081578225(0.0)
102,2; 0; 1,"(10327, 10327)",0,106657256,213.376474,1067.450368,0.00474256131099537(0.0),0.004741912430617958(0.0)
103,2; 1; 1,"(10327, 10327)",0,106657256,213.376474,857.735168,0.010280083620455117(0.0),0.010280542110558599(0.0)
104,2; 0; 1,"(10421, 10421)",0,108607662,217.27785,1088.421888,0.004825095229316503(0.0),0.004823927879333496(0.0)
105,2; 1; 1,"(10421, 10421)",0,108607662,217.27785,874.512384,0.011148328729905187(0.0),0.011141596329398453(0.0)
106,2; 0; 1,"(10514, 10514)",0,110554710,221.172504,1109.393408,0.0048883330216631295(0.0),0.004887176149059087(0.0)
107,2; 1; 1,"(10514, 10514)",0,110554710,221.172504,891.2896,0.010124108020681888(0.0),0.010136846511159092(0.0)
108,2; 0; 1,"(10606, 10606)",0,112497842,225.05932,1130.364928,0.004968327160459012(0.0),0.004968923588749021(0.0)
109,2; 1; 1,"(10606, 10606)",0,112497842,225.05932,908.066816,0.011180731358472258(0.0),0.011178607679903507(0.0)
