,Input dims,Input size,"Sparsities (input, matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
86,3,"[(7631, 7631), (7631, 7631), (7631, 7631)]",0 ; 0 ; 0,174696483,349.392966,469.762048,0.011060788809554651(0.0)
87,3,"[(7673, 7673), (7673, 7673), (7673, 7673)]",0 ; 0 ; 0,176624787,353.249574,478.150656,0.011596126520307734(0.0)
88,3,"[(7716, 7716), (7716, 7716), (7716, 7716)]",0 ; 0 ; 0,178609968,357.219936,478.150656,0.006779871809994802(0.0)
89,3,"[(7757, 7757), (7757, 7757), (7757, 7757)]",0 ; 0 ; 0,180513147,361.026294,486.539264,0.011685395089443773(0.0)
90,3,"[(7799, 7799), (7799, 7799), (7799, 7799)]",0 ; 0 ; 0,182473203,364.946406,494.927872,0.011607642939779908(0.0)
91,3,"[(7841, 7841), (7841, 7841), (7841, 7841)]",0 ; 0 ; 0,184443843,368.887686,494.927872,0.011759656369686127(0.0)
92,3,"[(7882, 7882), (7882, 7882), (7882, 7882)]",0 ; 0 ; 0,186377772,372.755544,503.31648,0.0069262161199003455(0.0)
93,3,"[(7923, 7923), (7923, 7923), (7923, 7923)]",0 ; 0 ; 0,188321787,376.643574,503.31648,0.011744467479875311(0.0)
94,3,"[(7964, 7964), (7964, 7964), (7964, 7964)]",0 ; 0 ; 0,190275888,380.551776,511.705088,0.007257631570100784(0.0)
95,3,"[(8004, 8004), (8004, 8004), (8004, 8004)]",0 ; 0 ; 0,192192048,384.384096,520.093696,0.00749814031063579(0.0)
96,3,"[(8045, 8045), (8045, 8045), (8045, 8045)]",0 ; 0 ; 0,194166075,388.33215,520.093696,0.013095552660524845(0.0)
97,3,"[(8085, 8085), (8085, 8085), (8085, 8085)]",0 ; 0 ; 0,196101675,392.20335,528.482304,0.013092139230575412(0.0)
98,3,"[(8125, 8125), (8125, 8125), (8125, 8125)]",0 ; 0 ; 0,198046875,396.09375,528.482304,0.012773160060169176(0.0)
99,3,"[(8164, 8164), (8164, 8164), (8164, 8164)]",0 ; 0 ; 0,199952688,399.905376,536.870912,0.0072297899192199115(0.0)
