,Input dims,Input size,"Sparsities (matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
48,2,"[(5027, 5027), (5027, 5027)]",0.999 ; 0.999,50541458,202.165832,310.378496,0.001763556939549744 (0.0)
49,2,"[(5075, 5075), (5075, 5075)]",0.999 ; 0.999,51511250,206.045,316.669952,0.0017596105998381973 (0.0)
50,2,"[(5122, 5122), (5122, 5122)]",0.999 ; 0.999,52469768,209.879072,322.961408,0.0018356433091685177 (0.0)
51,2,"[(5169, 5169), (5169, 5169)]",0.999 ; 0.999,53437122,213.748488,322.961408,0.0019402519206050783 (0.0)
52,2,"[(5216, 5216), (5216, 5216)]",0.999 ; 0.999,54413312,217.653248,329.252864,0.002329434819985181 (0.0)
53,2,"[(5262, 5262), (5262, 5262)]",0.999 ; 0.999,55377288,221.509152,335.54432,0.0019029334501828997 (0.0)
54,2,"[(5308, 5308), (5308, 5308)]",0.999 ; 0.999,56349728,225.398912,341.835776,0.0020107530895620584 (0.0)
55,2,"[(5354, 5354), (5354, 5354)]",0.999 ; 0.999,57330632,229.322528,348.127232,0.0019436179101467133 (0.0)
56,2,"[(5399, 5399), (5399, 5399)]",0.999 ; 0.999,58298402,233.193608,354.418688,0.0020569221198093145 (0.0)
57,2,"[(5443, 5443), (5443, 5443)]",0.999 ; 0.999,59252498,237.009992,360.710144,0.002124634520150721 (0.0)
58,2,"[(5488, 5488), (5488, 5488)]",0.999 ; 0.999,60236288,240.945152,367.0016,0.002378681559348479 (0.0)
59,2,"[(5532, 5532), (5532, 5532)]",0.999 ; 0.999,61206048,244.824192,373.293056,0.0021201245696283876 (0.0)
60,2,"[(5575, 5575), (5575, 5575)]",0.999 ; 0.999,62161250,248.645,379.584512,0.002114246679702774 (0.0)
61,2,"[(5619, 5619), (5619, 5619)]",0.999 ; 0.999,63146322,252.585288,385.875968,0.0021632339607458562 (0.0)
62,2,"[(5662, 5662), (5662, 5662)]",0.999 ; 0.999,64116488,256.465952,392.167424,0.0023286731995176523 (0.0)
63,2,"[(5704, 5704), (5704, 5704)]",0.999 ; 0.999,65071232,260.284928,398.45888,0.002281063349219039 (0.0)
64,2,"[(5747, 5747), (5747, 5747)]",0.999 ; 0.999,66056018,264.224072,398.45888,0.002405860219150782 (0.0)
65,2,"[(5789, 5789), (5789, 5789)]",0.999 ; 0.999,67025042,268.100168,404.750336,0.0022703538497444243 (0.0)
66,2,"[(5830, 5830), (5830, 5830)]",0.999 ; 0.999,67977800,271.9112,411.041792,0.0024282632896210996 (0.0)
67,2,"[(5872, 5872), (5872, 5872)]",0.999 ; 0.999,68960768,275.843072,417.333248,0.002550881609786302 (0.0)
68,2,"[(5913, 5913), (5913, 5913)]",0.999 ; 0.999,69927138,279.708552,423.624704,0.002444700640626252 (0.0)
69,2,"[(5954, 5954), (5954, 5954)]",0.999 ; 0.999,70900232,283.600928,429.91616,0.0025088191800750792 (0.0)
70,2,"[(5994, 5994), (5994, 5994)]",0.999 ; 0.999,71856072,287.424288,436.207616,0.002529916310450062 (0.0)
71,2,"[(6035, 6035), (6035, 6035)]",0.999 ; 0.999,72842450,291.3698,442.499072,0.0025605212396476416 (0.0)
72,2,"[(6075, 6075), (6075, 6075)]",0.999 ; 0.999,73811250,295.245,448.790528,0.0025562409695703537 (0.0)
73,2,"[(6115, 6115), (6115, 6115)]",0.999 ; 0.999,74786450,299.1458,455.081984,0.0025942504801787438 (0.0)
74,2,"[(6154, 6154), (6154, 6154)]",0.999 ; 0.999,75743432,302.973728,461.37344,0.0031441971904132516 (0.0)
75,2,"[(6193, 6193), (6193, 6193)]",0.999 ; 0.999,76706498,306.825992,467.664896,0.0031827372894622386 (0.0)
76,2,"[(6232, 6232), (6232, 6232)]",0.999 ; 0.999,77675648,310.702592,473.956352,0.0031963601999450476 (0.0)
77,2,"[(6271, 6271), (6271, 6271)]",0.999 ; 0.999,78650882,314.603528,480.247808,0.0033180778194218876 (0.0)
78,2,"[(6310, 6310), (6310, 6310)]",0.999 ; 0.999,79632200,318.5288,480.247808,0.0033190898410975934 (0.0)
79,2,"[(6348, 6348), (6348, 6348)]",0.999 ; 0.999,80594208,322.376832,486.539264,0.003331718900008127 (0.0)
80,2,"[(6386, 6386), (6386, 6386)]",0.999 ; 0.999,81561992,326.247968,492.83072,0.0033635921496897934 (0.0)
81,2,"[(6424, 6424), (6424, 6424)]",0.999 ; 0.999,82535552,330.142208,499.122176,0.0034321998606901614 (0.0)
82,2,"[(6462, 6462), (6462, 6462)]",0.999 ; 0.999,83514888,334.059552,505.413632,0.003507540939608589 (0.0)
83,2,"[(6499, 6499), (6499, 6499)]",0.999 ; 0.999,84474002,337.896008,511.705088,0.0035919362294953316 (0.0)
84,2,"[(6536, 6536), (6536, 6536)]",0.999 ; 0.999,85438592,341.754368,517.996544,0.003576051390264183 (0.0)
85,2,"[(6573, 6573), (6573, 6573)]",0.999 ; 0.999,86408658,345.634632,524.288,0.0038033029902726414 (0.0)
86,2,"[(6610, 6610), (6610, 6610)]",0.999 ; 0.999,87384200,349.5368,530.579456,0.0036573801503982394 (0.0)
87,2,"[(6646, 6646), (6646, 6646)]",0.999 ; 0.999,88338632,353.354528,536.870912,0.00374806837993674 (0.0)
88,2,"[(6683, 6683), (6683, 6683)]",0.999 ; 0.999,89324978,357.299912,543.162368,0.0038466117798816413 (0.0)
89,2,"[(6719, 6719), (6719, 6719)]",0.999 ; 0.999,90289922,361.159688,549.453824,0.003919719109544531 (0.0)
90,2,"[(6755, 6755), (6755, 6755)]",0.999 ; 0.999,91260050,365.0402,555.74528,0.003945009260205552 (0.0)
91,2,"[(6791, 6791), (6791, 6791)]",0.999 ; 0.999,92235362,368.941448,555.74528,0.004026035299757496 (0.0)
92,2,"[(6826, 6826), (6826, 6826)]",0.999 ; 0.999,93188552,372.754208,562.036736,0.004054986489936709 (0.0)
93,2,"[(6862, 6862), (6862, 6862)]",0.999 ; 0.999,94174088,376.696352,568.328192,0.004041077860165387 (0.0)
94,2,"[(6897, 6897), (6897, 6897)]",0.999 ; 0.999,95137218,380.548872,574.619648,0.0041272599902004 (0.0)
95,2,"[(6932, 6932), (6932, 6932)]",0.999 ; 0.999,96105248,384.420992,580.911104,0.004279227770166471 (0.0)
96,2,"[(6967, 6967), (6967, 6967)]",0.999 ; 0.999,97078178,388.312712,587.20256,0.004434633459895849 (0.0)
97,2,"[(7002, 7002), (7002, 7002)]",0.999 ; 0.999,98056008,392.224032,593.494016,0.0044423983595334 (0.0)
98,2,"[(7036, 7036), (7036, 7036)]",0.999 ; 0.999,99010592,396.042368,599.785472,0.004506893559591845 (0.0)
99,2,"[(7071, 7071), (7071, 7071)]",0.999 ; 0.999,99998082,399.992328,606.076928,0.004787506849970669 (0.0)
