,Input dims,Input size,"Sparsities (input, other)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
56,2,"[(6228, 6228), (6228, 6228)]",0 ; 0,77575968,155.151936,232.783872,0.0034491232002619656(0.0)
57,2,"[(6280, 6280), (6280, 6280)]",0 ; 0,78876800,157.7536,239.075328,0.0020989301102235913(0.0)
58,2,"[(6331, 6331), (6331, 6331)]",0 ; 0,80163122,160.326244,245.366784,0.006444899219786748(0.0)
59,2,"[(6382, 6382), (6382, 6382)]",0 ; 0,81459848,162.919696,245.366784,0.003568059540120885(0.0)
60,2,"[(6433, 6433), (6433, 6433)]",0 ; 0,82766978,165.533956,251.65824,0.006815499420044943(0.0)
61,2,"[(6483, 6483), (6483, 6483)]",0 ; 0,84058578,168.117156,257.949696,0.006837471789913252(0.0)
62,2,"[(6533, 6533), (6533, 6533)]",0 ; 0,85360178,170.720356,257.949696,0.00697602323954925(0.0)
63,2,"[(6582, 6582), (6582, 6582)]",0 ; 0,86645448,173.290896,264.241152,0.004034756190376357(0.0)
64,2,"[(6631, 6631), (6631, 6631)]",0 ; 0,87940322,175.880644,264.241152,0.007121596959186718(0.0)
65,2,"[(6680, 6680), (6680, 6680)]",0 ; 0,89244800,178.4896,270.532608,0.002508029920281842(0.0)
66,2,"[(6728, 6728), (6728, 6728)]",0 ; 0,90531968,181.063936,276.824064,0.002509624040685594(0.0)
67,2,"[(6776, 6776), (6776, 6776)]",0 ; 0,91828352,183.656704,276.824064,0.002590481659863144(0.0)
68,2,"[(6824, 6824), (6824, 6824)]",0 ; 0,93133952,186.267904,283.11552,0.002662004129961133(0.0)
69,2,"[(6871, 6871), (6871, 6871)]",0 ; 0,94421282,188.842564,289.406976,0.008085295660421252(0.0)
70,2,"[(6918, 6918), (6918, 6918)]",0 ; 0,95717448,191.434896,289.406976,0.004525949659291655(0.0)
71,2,"[(6965, 6965), (6965, 6965)]",0 ; 0,97022450,194.0449,295.698432,0.008557075730059295(0.0)
72,2,"[(7011, 7011), (7011, 7011)]",0 ; 0,98308242,196.616484,295.698432,0.008563711990136653(0.0)
73,2,"[(7057, 7057), (7057, 7057)]",0 ; 0,99602498,199.204996,301.989888,0.008802372670033946(0.0)
74,2,"[(7103, 7103), (7103, 7103)]",0 ; 0,100905218,201.810436,308.281344,0.008908248819643631(0.0)
75,2,"[(7149, 7149), (7149, 7149)]",0 ; 0,102216402,204.432804,308.281344,0.0087160081602633(0.0)
